9.2547e+05,1.9327e+06,90.195
9.2552e+05,1.9327e+06,131.57
9.2557e+05,1.9326e+06,407.59
9.2552e+05,1.9329e+06,58.158
9.2547e+05,1.9329e+06,108.32
9.2547e+05,1.9328e+06,20.08
9.2557e+05,1.933e+06,98.808
9.2557e+05,1.9328e+06,441.9
9.2557e+05,1.9327e+06,295.99
9.2557e+05,1.9328e+06,394.32
9.2542e+05,1.9327e+06,142.92
9.2552e+05,1.9326e+06,455.76
9.2567e+05,1.9327e+06,77.402
9.2533e+05,1.9329e+06,104.93
9.2567e+05,1.9328e+06,55.942
9.2552e+05,1.9326e+06,282.3
9.2552e+05,1.9328e+06,247.04
9.2547e+05,1.9328e+06,164.38
9.2547e+05,1.9327e+06,82.545
9.2542e+05,1.9327e+06,301.38
9.2537e+05,1.9327e+06,344.54
9.2562e+05,1.9328e+06,60.941
9.2567e+05,1.9329e+06,63.022
9.2552e+05,1.933e+06,54.726
9.2542e+05,1.9328e+06,121.74
9.2567e+05,1.9329e+06,12.963
9.2542e+05,1.9329e+06,73.415
9.2537e+05,1.9329e+06,325.47
9.2562e+05,1.9329e+06,124.62
9.2552e+05,1.9327e+06,13.681
9.2552e+05,1.9329e+06,69.432
9.2562e+05,1.9329e+06,71.522
9.2562e+05,1.9328e+06,255.07
9.2547e+05,1.9326e+06,318.3
9.2547e+05,1.9329e+06,235.85
9.2537e+05,1.9328e+06,444.41
9.2552e+05,1.9328e+06,114.78
9.2537e+05,1.9327e+06,161.78
9.2542e+05,1.9328e+06,83.435
9.2428e+05,1.9316e+06,7.7285
9.2423e+05,1.9317e+06,40.126
9.2418e+05,1.9317e+06,66.374
9.2409e+05,1.9318e+06,97.544
9.2423e+05,1.9316e+06,20.407
9.2433e+05,1.9316e+06,65.329
9.2418e+05,1.9317e+06,39.838
9.2413e+05,1.9317e+06,41.803
9.2414e+05,1.9318e+06,110.61
9.2416e+05,1.9342e+06,37.838
9.2421e+05,1.9343e+06,265.18
9.2421e+05,1.9342e+06,102.99
9.2416e+05,1.9343e+06,92.678
9.2426e+05,1.9344e+06,43.682
9.2426e+05,1.9343e+06,94.285
9.2421e+05,1.9343e+06,45.342
9.2431e+05,1.9344e+06,47.537
9.243e+05,1.9343e+06,107.32
9.244e+05,1.9343e+06,38.979
9.2431e+05,1.9343e+06,58.564
9.243e+05,1.9342e+06,81.786
9.2425e+05,1.9341e+06,185.53
9.2435e+05,1.9342e+06,98.197
9.2435e+05,1.9343e+06,62.614
9.2421e+05,1.9342e+06,81.516
9.2426e+05,1.9343e+06,202.9
9.2435e+05,1.9343e+06,60.43
9.2426e+05,1.9342e+06,54.513
9.2425e+05,1.9342e+06,104.1
9.243e+05,1.9342e+06,97.593
9.2498e+05,1.9332e+06,329.59
9.2503e+05,1.9332e+06,463.61
9.2493e+05,1.9332e+06,552.66
9.2503e+05,1.9331e+06,159.92
9.2513e+05,1.9332e+06,150.58
9.2503e+05,1.9333e+06,554.87
9.2508e+05,1.9332e+06,294.77
9.2503e+05,1.9332e+06,266.72
9.2508e+05,1.9332e+06,254.16
9.2498e+05,1.9332e+06,1236
9.2503e+05,1.9328e+06,139.92
9.2513e+05,1.9328e+06,89.1
9.2508e+05,1.9328e+06,128.02
9.2508e+05,1.9328e+06,135.68
9.2508e+05,1.9329e+06,134.62
9.2513e+05,1.9328e+06,73.754
9.2508e+05,1.9327e+06,224.44
9.2503e+05,1.9328e+06,616.98
9.2528e+05,1.9332e+06,123.42
9.2533e+05,1.9331e+06,116
9.2528e+05,1.9332e+06,361.93
9.2533e+05,1.9332e+06,203.01
9.2523e+05,1.9332e+06,139.3
9.2533e+05,1.9331e+06,282.29
