STD_YM|BLOCK_CD|X_COORD|Y_COORD|FLOW_POP_CNT_MON|FLOW_POP_CNT_TUS|FLOW_POP_CNT_WED|FLOW_POP_CNT_THU|FLOW_POP_CNT_FRI|FLOW_POP_CNT_SAT|FLOW_POP_CNT_SUN
201603|23040610401001000001|925325.125|1932867|272.66|261.04|274|275.37|281.78|249.25|193.97
201603|23040610401001000001|925372.375|1932661|237.68|222.48|246|237.74|231.89|169.82|142.81
201603|23040610401001000001|925372.8125|1932713|256.66|240.31|264.73|257.54|252.76|186.47|154.79
201603|23040610401001000001|925373.8125|1932815|446.85|416.55|449.74|450.96|448.97|338.42|260.49
201603|23040610401001000001|925374.1875|1932867|519.53|491.65|527.9|531.14|550.19|470.73|352.89
201603|23040610401001000001|925421.625|1932661|264.99|248.11|273.31|265.9|260.96|192.52|159.81
201603|23040610401001000001|925422.125|1932712|401.05|368.25|410.4|402.54|389.13|254.03|204.88
201603|23040610401001000001|925422.5|1932764|220.14|206.06|227.84|220.19|214.77|157.27|132.26
201603|23040610401001000001|925422.875|1932815|478.32|453.21|487.38|480.92|481.47|392.86|315.68
201603|23040610401001000001|925423.375|1932866|248.33|232.15|255.19|257.06|269.53|222.92|160.41
201603|23040610401001000001|925470.375|1932609|268.91|251.71|278.32|268.97|262.35|192.11|161.56
201603|23040610401001000001|925470.8125|1932660|237.09|221.94|245.39|237.15|231.32|169.39|142.44
201603|23040610401001000001|925471.3125|1932712|422.85|388.79|432.13|425.15|412.69|272.91|218.92
201603|23040610401001000001|925471.8125|1932763|25.47|23.88|25.49|26.25|27.05|21.11|15.86
201603|23040610401001000001|925472.1875|1932815|217.14|203.26|224.73|217.19|211.85|155.13|130.45
201603|23040610401001000001|925472.625|1932866|15.7|14.76|15.83|16.24|16.67|13.95|10.5
201603|23040610401001000001|925473.125|1932917|15.59|14.65|15.72|16.12|16.55|13.85|10.43
201603|23040610401001000001|925519|1932557|349.44|327.11|361.67|349.53|340.94|249.67|209.95
201603|23040610401001000001|925519.5|1932609|278.32|260.53|288.05|278.4|271.54|198.85|167.22
201603|23040610401001000001|925519.875|1932660|238.2|222.98|246.53|238.26|232.4|170.18|143.12
201603|23040610401001000001|925520.375|1932711|25.91|24.31|25.95|26.72|27.53|21.49|16.13
201603|23040610401001000001|925520.875|1932763|625.42|583.73|635.65|628.84|621.17|462.24|367.12
201603|23040610401001000001|925521.3125|1932814|256.53|239.89|263.32|265.53|278.06|230.14|166.08
201603|23040610401001000001|925521.8125|1932865|15.48|14.56|15.61|16.02|16.45|13.77|10.36
201603|23040610401001000001|925522.3125|1932917|163.42|146.43|164.85|164.75|157.47|87|65.17
201603|23040610401001000001|925522.6875|1932968|154.51|138.44|155.84|155.75|148.88|82.25|61.61
201603|23040610401001000001|925568.6875|1932608|274.72|257.15|284.34|274.78|268.03|196.27|165.05
201603|23040610401001000001|925569.625|1932711|400.21|367.5|409.54|401.71|388.32|253.5|204.46
201603|23040610401001000001|925570.125|1932762|190.15|171.07|191.8|192.11|184.8|106.91|80.12
201603|23040610401001000001|925570.625|1932814|173.33|155.31|174.85|174.75|167.02|92.27|69.12
201603|23040610401001000001|925571|1932865|372.63|342.17|381.33|374.04|361.57|236.03|190.37
201603|23040610401001000001|925571.375|1932916|160.97|144.24|162.37|162.28|155.12|85.7|64.18
201603|23040610401001000001|925571.875|1932968|214.44|200.47|220.36|221.98|232.74|192.49|138.52
201603|23040610401001000001|925619.1875|1932762|15.77|14.82|15.9|16.3|16.73|14|10.54
201603|23040610401001000001|925619.6875|1932813|170.33|152.62|171.81|171.7|164.13|90.68|67.91
201603|23040610401001000001|925620.125|1932865|165.85|148.62|167.31|167.21|159.82|88.3|66.13
201603|23040610401001000001|925620.625|1932916|8.89|8.32|8.8|9.13|9.46|6.5|4.86
201603|23040610401001000001|925667.875|1932710|171.33|153.52|172.82|172.72|165.1|91.21|68.32
201603|23040610401001000001|925668.375|1932761|166.06|148.8|167.51|167.41|160.02|88.4|66.22
201603|23040610401001000001|925669.3125|1932864|169.82|152.52|171.13|171.37|164.54|92.17|69.03
201603|23040610401001000001|925669.8125|1932916|8.42|7.88|8.33|8.65|8.96|6.16|4.6
201603|23040610402001000001|924085.8125|1931800|494.82|438.37|492.05|501.48|506.08|334.35|244.17
201603|23040610402001000001|924134.625|1931748|1259.49|1121.17|1264.43|1301.56|1298.48|899.22|518.54
201603|23040610402001000001|924135.125|1931799|130.03|122.24|133.55|130.92|137.98|106.94|87.27
201603|23040610402001000001|924182.8125|1931645|39.27|36.27|41.67|42.08|41.34|31.88|20.99
201603|23040610402001000001|924183.3125|1931696|647.89|555.43|634.09|636.53|647.62|347.8|245.09
201603|23040610402001000001|924183.6875|1931747|104.98|98.24|107.59|104.95|111.06|87.24|72.09
201603|23040610402001000001|924231.625|1931593|22.52|20.8|23.89|24.13|23.71|18.28|12.04
201603|23040610402001000001|924232|1931644|88|72.22|82.03|86.32|85.48|42.86|28.78
201603|23040610402001000001|924232.5|1931696|73.36|68.64|75.18|73.33|77.61|60.97|50.38
201603|23040610402001000001|924280.6875|1931592|45.97|37.73|42.86|45.1|44.66|22.39|15.04
