STD_YM|BLOCK_CD|X_COORD|Y_COORD|FLOW_POP_CNT_MON|FLOW_POP_CNT_TUS|FLOW_POP_CNT_WED|FLOW_POP_CNT_THU|FLOW_POP_CNT_FRI|FLOW_POP_CNT_SAT|FLOW_POP_CNT_SUN
201511|23040610401001000001|925520.875|1932763|736.16|755.4|758.71|751.69|750.87|569.8|433.03
201511|23040610401001000001|925619.1875|1932762|139.69|143.02|144.7|142.76|140.8|87.34|58.54
201511|23040610401001000001|925570.125|1932762|141.15|144.49|146.2|144.24|142.26|88.25|59.16
201511|23040610401001000001|925668.375|1932761|120.92|123.22|125.16|123.61|121.21|72.27|48.37
201511|23040610401001000001|925422.125|1932712|427.29|436.15|437.1|430|426.46|292.53|217.38
201511|23040610401001000001|925325.125|1932867|486.56|500.72|505.54|503.67|503.81|392.87|296.31
201511|23040610401001000001|925374.1875|1932867|337.08|348.27|350.78|350.69|353.47|300.29|233.3
201511|23040610401001000001|925519|1932557|652.06|660.74|666.82|656.54|649.65|445.35|331.95
201511|23040610401001000001|925571.875|1932968|184.21|191.78|194.24|197.31|201.66|159.68|113.61
201511|23040610401001000001|925473.125|1932917|13.98|14.89|14.57|14.25|14.78|12.16|8.23
201511|23040610401001000001|925470.8125|1932660|151.3|157.46|156.58|154.21|152.37|92.23|61.77
201511|23040610401001000001|925519.875|1932660|139.12|141.76|144.01|142.21|139.45|83.15|55.65
201511|23040610401001000001|925470.375|1932609|501.77|508.46|513.13|505.22|499.92|342.72|255.43
201511|23040610401001000001|925521.8125|1932865|13.88|14.8|14.48|14.16|14.69|12.08|8.18
201511|23040610401001000001|925422.875|1932815|429.66|436.13|439.67|432.79|428.96|296.19|219.9
201511|23040610401001000001|925620.625|1932916|10.85|13.85|11.22|10.72|11.49|8.01|5.39
201511|23040610401001000001|925569.625|1932711|429|435.48|439.01|432.13|428.32|295.74|219.57
201511|23040610401001000001|925522.6875|1932968|112.51|114.64|116.44|115.01|112.77|67.24|45
201511|23040610401001000001|925372.375|1932661|443.51|449.41|453.56|446.56|441.88|302.92|225.78
201511|23040610401001000001|925472.625|1932866|218.93|228.28|230.7|233.78|239.15|189.83|134.65
201511|23040610401001000001|925620.125|1932865|11.17|14.27|11.56|11.04|11.83|8.26|5.56
201511|23040610401001000001|925472.1875|1932815|222.01|231.5|233.95|237.07|242.51|192.5|136.54
201511|23040610401001000001|925471.3125|1932712|155.03|161.73|160.58|158.03|156.87|98.29|65.91
201511|23040610401001000001|925421.625|1932661|470.82|481.26|481.94|473.99|470.83|325.2|240.78
201511|23040610401001000001|925372.8125|1932713|456.03|466.16|466.8|459.1|456.05|314.99|233.2
201511|23040610401001000001|925521.3125|1932814|220.96|230.39|232.84|235.94|241.36|191.58|135.88
201511|23040610401001000001|925520.375|1932711|26.38|30.63|27.42|26.52|27.92|21.4|14.46
201511|23040610401001000001|925471.8125|1932763|152.33|158.91|157.77|155.28|154.14|96.57|64.76
201511|23040610401001000001|925667.875|1932710|138.81|142.08|143.77|141.84|139.9|86.78|58.17
201511|23040610401001000001|925669.8125|1932916|10.27|13.11|10.62|10.15|10.87|7.59|5.11
201511|23040610401001000001|925619.6875|1932813|13.97|14.88|14.56|14.23|14.76|12.14|8.23
201511|23040610401001000001|925423.375|1932866|26.7|31.01|27.74|26.84|28.27|21.66|14.63
201511|23040610401001000001|925570.625|1932814|126.22|128.62|130.64|129.02|126.52|75.43|50.48
201511|23040610401001000001|925422.5|1932764|353.65|365.71|370.25|371.77|374.74|272.01|189.85
201511|23040610401001000001|925522.3125|1932917|119|121.27|123.18|121.65|119.28|71.12|47.6
201511|23040610401001000001|925669.3125|1932864|10.84|13.85|11.22|10.72|11.49|8.01|5.39
201511|23040610401001000001|925568.6875|1932608|352.17|355.94|358.16|352.12|349.91|254.22|196.78
201511|23040610401001000001|925373.8125|1932815|148.7|152.22|154.02|151.96|149.87|92.97|62.32
201511|23040610401001000001|925519.5|1932609|519.35|526.25|531.1|522.92|517.43|354.72|264.38
201511|23040610402001000001|924280.6875|1931592|56.06|57.62|56.92|53.81|53.18|26.99|18.66
201511|23040610402001000001|924183.6875|1931747|263.26|260.77|268.78|269.68|279.53|206.22|156.36
201511|23040610402001000001|924182.8125|1931645|36.93|40.11|39.39|40.36|40.01|28.64|17.13
201511|23040610402001000001|924134.625|1931748|229.96|236.33|233.44|220.72|218.12|110.74|76.56
