STD_YM|BLOCK_CD|X_COORD|Y_COORD|FLOW_POP_CNT_MON|FLOW_POP_CNT_TUS|FLOW_POP_CNT_WED|FLOW_POP_CNT_THU|FLOW_POP_CNT_FRI|FLOW_POP_CNT_SAT|FLOW_POP_CNT_SUN
201607|23040610401001000001|925473.125|1932917|19.07|18.67|19.74|19.93|20.82|15.83|12.87
201607|23040610401001000001|925520.375|1932711|166.47|168.36|171.36|170.79|175.52|135.24|100.46
201607|23040610401001000001|925422.5|1932764|249.6|246.69|250.31|253.27|255.36|177.52|134.2
201607|23040610401001000001|925570.625|1932814|459.28|453.92|460.74|461.07|470.42|360.84|269.49
201607|23040610401001000001|925619.6875|1932813|131.97|130.19|130.5|133.55|133.4|83.79|61.3
201607|23040610401001000001|925522.3125|1932917|126.63|124.92|125.22|128.13|127.98|80.39|58.83
201607|23040610401001000001|925470.375|1932609|137.76|136.45|140.51|140.3|143.01|110.75|86.31
201607|23040610401001000001|925472.1875|1932815|154.48|154.68|157.69|158.43|156.54|113.81|89.79
201607|23040610401001000001|925421.625|1932661|142.74|141.13|145.89|145.92|149.3|115.29|90.45
201607|23040610401001000001|925571.875|1932968|145.52|147.16|149.77|149.28|153.42|118.22|87.81
201607|23040610401001000001|925669.3125|1932864|238.41|235.2|239.06|242.52|244.29|170|128.55
201607|23040610401001000001|925372.375|1932661|134.72|132.88|137.13|137.84|140.1|107.58|83.66
201607|23040610401001000001|925569.625|1932711|113.77|112.69|116.04|115.86|118.11|91.47|71.28
201607|23040610401001000001|925374.1875|1932867|739.69|741.65|751.71|752.56|771.63|597.44|467.6
201607|23040610401001000001|925422.125|1932712|252.32|249.38|253.05|256.05|258.14|179.46|135.68
201607|23040610401001000001|925571|1932865|234.47|231.72|235.13|237.93|239.85|166.76|126.07
201607|23040610401001000001|925620.625|1932916|227.54|224.9|228.2|230.91|232.79|161.84|122.35
201607|23040610401001000001|925325.125|1932867|200.73|200.15|204.87|206|211.11|192.08|162.36
201607|23040610401001000001|925619.1875|1932762|19.29|18.88|19.95|20.16|21.04|16|13.02
201607|23040610401001000001|925668.375|1932761|128.67|126.93|127.23|130.2|130.05|81.69|59.78
201607|23040610401001000001|925568.6875|1932608|326.43|322.02|327.34|332.07|334.49|232.74|176.01
201607|23040610401001000001|925669.8125|1932916|107.7|106.25|109.64|110.19|112.01|86.01|66.89
201607|23040610401001000001|925471.8125|1932763|428.72|425.31|433.2|437.16|443.85|349.95|280.25
201607|23040610401001000001|925472.625|1932866|261.99|258.75|263.36|266.43|269.36|188.6|143.54
201607|23040610401001000001|925521.3125|1932814|153.69|151.47|152.87|156.16|156.9|101.34|75.48
201607|23040610401001000001|925570.125|1932762|318.64|318.28|322.62|325.39|330.8|235.25|174.93
201607|23040610401001000001|925422.875|1932815|590.63|589.19|599.58|603.6|608.4|441.57|335.91
201607|23040610401001000001|925571.375|1932916|124.73|123.05|123.33|126.21|126.06|79.19|57.95
201607|23040610401001000001|925519.875|1932660|315.42|313.45|321.28|322.86|329.28|283.17|232.62
201607|23040610401001000001|925372.8125|1932713|293.48|289.35|294.96|299.12|302.1|211.65|161.04
201607|23040610401001000001|925373.8125|1932815|290.19|291.05|297.58|296.82|304.05|234.75|177.81
201607|23040610401001000001|925667.875|1932710|132.75|130.97|131.28|134.34|134.18|84.29|61.67
201607|23040610401001000001|925620.125|1932865|234.47|231.72|235.13|237.93|239.85|166.76|126.07
201607|23040610401001000001|925522.6875|1932968|119.72|118.1|118.38|121.14|120.99|76|55.62
201607|23040610401001000001|925520.875|1932763|410.79|407.79|414.62|418.38|424.19|335.06|268.09
201607|23040610401001000001|925519|1932557|523.59|515.31|527.47|524.01|541.47|344.88|256.74
201607|23040610401001000001|925471.3125|1932712|281.49|277.55|282.92|286.91|289.76|203.01|154.45
201607|23040610401001000001|925521.8125|1932865|18.95|18.56|19.61|19.8|20.69|15.72|12.79
201607|23040610401001000001|925423.375|1932866|590.17|589.01|599.07|602.34|613.1|480.84|376.89
201607|23040610401001000001|925519.5|1932609|315.57|311.88|316.47|320.24|322.84|224.45|169.68
201607|23040610401001000001|925470.8125|1932660|121.47|120.32|123.89|123.69|126.09|97.65|76.1
201607|23040610402001000001|924135.125|1931799|96.24|92.72|95.18|93.82|101.64|75.57|59.1
201607|23040610402001000001|924134.625|1931748|164.7|161.84|163.02|163.98|169.27|120.99|87.59
201607|23040610402001000001|924280.6875|1931592|33.41|32.31|32.3|32.46|32.99|17.5|12.79
201607|23040610402001000001|924232.5|1931696|70.39|69.91|69.39|71.5|70.71|47.76|31.92
201607|23040610402001000001|924232|1931644|63.93|61.86|61.82|62.11|63.14|33.51|24.49
201607|23040610402001000001|924182.8125|1931645|71.46|71|72.69|72.6|74.41|40.65|29.06
201607|23040610402001000001|924085.8125|1931800|340.01|333.11|340.17|338.28|346.55|215.36|163.56
201607|23040610402001000001|924231.625|1931593|40.98|40.71|41.69|41.63|42.68|23.31|16.66
201607|23040610402001000001|924183.3125|1931696|87.5|85.83|87.59|86.78|90.32|51.03|36.72
201607|23040610402001000001|924281.625|1931695|48.71|48.05|48.17|49.29|49.23|30.92|22.62
201607|23040610402001000001|924330.375|1931643|167.98|163.11|165.26|164.49|171.26|102.3|76.11
201607|23040610402001000001|924183.6875|1931747|72.51|70.19|72.18|70.17|76.88|58.92|46.44
201607|23040610403001000001|924157|1934213|55.11|55.19|56.27|56.52|55.85|40.61|32.04
201607|23040610403001000001|924157.375|1934265|155.67|156.27|158.79|160.47|162.54|129.29|98.04
201607|23040610403001000001|924256.6875|1934367|66.27|66.35|67.64|67.95|67.14|48.81|38.52
201607|23040610403001000001|924206.125|1934213|131.2|131.75|134.52|135|136.16|100.26|75.86
201607|23040610403001000001|924206.625|1934264|240.42|240.21|241.31|246.08|248.08|205.92|157.27
201607|23040610403001000001|924305.8125|1934366|70.64|70.72|72.11|72.44|71.58|52.04|41.06
201607|23040610403001000001|924256.3125|1934315|149.15|149.76|152.91|153.47|154.79|113.97|86.24
