STD_YM|BLOCK_CD|X_COORD|Y_COORD|FLOW_POP_CNT_MON|FLOW_POP_CNT_TUS|FLOW_POP_CNT_WED|FLOW_POP_CNT_THU|FLOW_POP_CNT_FRI|FLOW_POP_CNT_SAT|FLOW_POP_CNT_SUN
201605|23040610401001000001|925374.1875|1932867|527.55|526.69|563.3|562.53|564.98|559.69|486.72
201605|23040610401001000001|925570.125|1932762|433.68|428.43|455.15|396.89|408.66|329.06|255.29
201605|23040610401001000001|925423.375|1932866|495.78|495.56|529.68|530.15|532.15|528.07|460.29
201605|23040610401001000001|925620.125|1932865|379.36|374.39|390.22|343.52|342.31|263.66|219.2
201605|23040610401001000001|925569.625|1932711|407.43|402.09|419.09|368.93|367.64|283.16|235.42
201605|23040610401001000001|925472.1875|1932815|219.94|218.54|224.98|205.3|204.4|169.01|144.97
201605|23040610401001000001|925470.375|1932609|272.37|270.65|278.63|254.24|253.13|209.3|179.54
201605|23040610401001000001|925471.3125|1932712|431.83|425.96|444.56|392|391.4|304.54|251.97
201605|23040610401001000001|925372.8125|1932713|450.21|444.09|463.48|408.7|408.04|317.51|262.71
201605|23040610401001000001|925669.8125|1932916|202.01|200.79|206.7|188.09|187.57|154.84|131.99
201605|23040610401001000001|925521.8125|1932865|16|15.41|16.8|15.64|16|15.01|12.03
201605|23040610401001000001|925619.1875|1932762|16.28|15.69|17.09|15.92|16.28|15.27|12.24
201605|23040610401001000001|925522.3125|1932917|167.41|163.83|173.38|145.84|145.49|101.21|79.95
201605|23040610401001000001|925520.875|1932763|642.7|638.09|672.84|651.95|640.85|585.63|520.97
201605|23040610401001000001|925669.3125|1932864|174.93|171.42|181.1|152.52|152.45|106.97|84.14
201605|23040610401001000001|925571.375|1932916|164.89|161.36|170.77|143.64|143.3|99.68|78.75
201605|23040610401001000001|925568.6875|1932608|503.99|497.39|518.42|456.37|454.78|350.28|291.21
201605|23040610401001000001|925519|1932557|353.95|351.71|362.07|330.39|328.94|271.98|233.31
201605|23040610401001000001|925373.8125|1932815|462.66|458.65|489.94|487.45|477.09|455.14|409.11
201605|23040610401001000001|925473.125|1932917|16.1|15.53|16.9|15.74|16.1|15.11|12.1
201605|23040610401001000001|925519.875|1932660|509.1|508.24|535.16|544.47|532.71|523.92|477.85
201605|23040610401001000001|925325.125|1932867|284.38|284.41|305.72|335.15|324.83|353.6|330.65
201605|23040610401001000001|925422.125|1932712|408.27|402.93|419.96|369.7|368.4|283.75|235.91
201605|23040610401001000001|925571|1932865|379.36|374.39|390.22|343.52|342.31|263.66|219.2
201605|23040610401001000001|925422.875|1932815|475.36|474.57|499.7|508.4|497.41|489.2|446.18
201605|23040610401001000001|925521.3125|1932814|253.9|252.49|268.94|240.2|252.28|220.05|169.19
201605|23040610401001000001|925471.8125|1932763|235.62|233.63|241.46|220.65|220.14|183.82|156.81
201605|23040610401001000001|925472.625|1932866|16.21|15.64|17.02|15.85|16.21|15.2|12.19
201605|23040610401001000001|925470.8125|1932660|240.16|238.62|245.66|224.17|223.19|184.53|158.3
201605|23040610401001000001|925620.625|1932916|203.28|201.99|207.94|189.74|188.92|156.2|133.99
201605|23040610401001000001|925421.625|1932661|270.02|267.83|276.77|252.25|252|210.03|178.18
201605|23040610401001000001|925571.875|1932968|211.64|210.88|224.31|199.74|210.18|182.36|139.78
201605|23040610401001000001|925619.6875|1932813|174.48|170.74|180.7|152|151.63|105.48|83.33
201605|23040610401001000001|925522.6875|1932968|158.27|154.88|163.91|137.87|137.54|95.68|75.59
201605|23040610401001000001|925668.375|1932761|170.11|166.47|176.18|148.19|147.83|102.83|81.24
201605|23040610401001000001|925570.625|1932814|396.45|391.27|407.81|359|357.74|275.53|229.08
201605|23040610401001000001|925520.375|1932711|11.06|11.07|11.38|9.77|10.08|8.04|5.94
201605|23040610401001000001|925519.5|1932609|281.92|280.13|288.39|263.14|262|216.62|185.82
201605|23040610401001000001|925667.875|1932710|175.52|171.75|181.76|152.89|152.53|106.11|83.82
201605|23040610401001000001|925372.375|1932661|252.67|251.16|258.55|235.27|234.63|193.68|165.09
201605|23040610401001000001|925422.5|1932764|222.98|221.56|228.09|208.14|207.23|171.33|146.97
201605|23040610402001000001|924232|1931644|73.26|71.32|77.64|66.92|68.11|36.46|28.74
201605|23040610402001000001|924232.5|1931696|657.47|635.89|675.67|628.82|648.37|615.73|405.79
201605|23040610402001000001|924280.6875|1931592|38.28|37.25|40.56|34.96|35.59|19.05|15.01
201605|23040610402001000001|924330.375|1931643|138.89|135.07|143.47|126.78|131.5|87.63|71.4
201605|23040610402001000001|924182.8125|1931645|37.66|38.29|42.35|40.71|36.55|35.04|22.13
201605|23040610402001000001|924183.3125|1931696|439.6|420.98|455.35|390.17|403.79|308.95|242.49
201605|23040610402001000001|924183.6875|1931747|107.87|104.92|107.27|98.41|105.03|89.21|75.31
201605|23040610402001000001|924134.625|1931748|1051.44|1017.93|1085.59|998.89|1028.05|915.81|613.63
201605|23040610402001000001|924135.125|1931799|134.19|130.34|133.7|122.36|130.2|109.16|91.39
201605|23040610402001000001|924085.8125|1931800|472.65|465.05|500.23|456.83|461.02|362.03|279.24
201605|23040610402001000001|924231.625|1931593|21.6|21.95|24.29|23.35|20.96|20.1|12.7
201605|23040610403001000001|924207|1934316|83.12|81.1|89.28|81.21|81.34|80.21|55.54
201605|23040610403001000001|924256.6875|1934367|150.57|144.7|156.09|148.9|148.23|131.84|103.98
201605|23040610403001000001|924305.8125|1934366|160.51|154.27|166.39|158.73|158.02|140.55|110.84
201605|23040610403001000001|924157|1934213|125.23|120.37|129.82|123.86|123.28|109.66|86.48
201605|23040610403001000001|924206.625|1934264|255.37|246.76|268.1|251.5|250.89|231.64|174.34
201605|23040610403001000001|924256.3125|1934315|187.52|180.24|194.39|185.46|184.62|164.21|129.5
201605|23040610403001000001|924157.375|1934265|5.61|5.4|5.89|5.49|5.61|5.26|4.21
201605|23040610403001000001|924206.125|1934213|254.46|245.87|267.13|250.6|249.98|230.82|173.71
201605|23040610404001000001|924304.375|1934212|595.49|588.55|628.64|590.95|598.05|579.98|432.39
201605|23040610404001000001|924303.875|1934161|304.95|294.64|320.14|300.26|299.75|276.88|208.81
201605|23040610404001000001|924305.375|1934315|312.63|302.09|328.22|307.9|307.16|283.6|213.44
201605|23040610404001000001|924403.3125|1934262|330.79|331.74|352.56|328.87|335.73|339.56|246.47
201605|23040610404001000001|924353.625|1934212|578.94|571.96|611.13|574.39|581.41|563.53|420.62
201605|23040610404001000001|924304.875|1934263|338.79|327.36|355.67|333.65|332.85|307.3|231.29
201605|23040610404001000001|924254.8125|1934161|291.84|281.97|306.39|287.36|286.87|264.99|199.85
201605|23040610404001000001|924255.8125|1934264|314.23|303.63|329.88|309.46|308.71|285.03|214.54
201605|23040610404001000001|924205.625|1934161|7.63|7.35|8.01|7.46|7.63|7.15|5.73
201605|23040610404001000001|924254.375|1934110|298.45|288.37|313.32|293.86|293.37|270.98|204.36
201605|23040610404001000001|924255.3125|1934212|301.43|291.26|316.46|296.86|296.13|273.42|205.79
201605|23040610404001000001|924354.125|1934263|111.47|108.77|119.73|108.93|109.09|107.56|74.48
201605|23040610404001000001|924354.625|1934314|190.32|182.91|197.29|188.22|187.36|166.64|131.43
201605|23040610405001000001|924934.375|1933179|759.21|757.97|810.66|809.55|813.08|805.48|700.46
201605|23040610405001000001|924983.625|1933179|880.91|859.01|921.56|855.25|870.62|768.03|599.35
201605|23040610405001000001|925131.125|1933177|770.64|751.72|806.13|748.06|761.4|670.49|522.8
201605|23040610405001000001|925081.875|1933178|316.48|315.36|335.43|298.69|314.31|272.72|209.02
201605|23040610405001000001|925032.375|1933127|333.87|332.7|353.86|315.11|331.59|287.71|220.51
201605|23040610405001000001|925033.3125|1933229|819.36|798.99|857.16|795.48|809.79|714.35|557.48
201605|23040610405001000001|925033.8125|1933281|338.55|336.66|358.61|320.26|336.38|293.4|225.6
201605|23040610405001000001|925082.375|1933229|613.75|613.47|655.7|656.31|658.78|653.72|569.81
201605|23040610405001000001|925032.8125|1933178|350.74|348.78|371.52|331.8|348.5|303.97|233.72
201605|23040610405001000001|924984.125|1933230|364.41|362.35|385.98|344.71|362.07|315.8|242.82
201605|23040610406001000001|925127.875|1932818|286.34|287.07|308.31|341.33|329.81|361.94|340.86
201605|23040610406001000001|925079.1875|1932869|557.42|556.49|585.97|596.16|583.28|573.66|523.21
201605|23040610406001000001|925127.5|1932766|550.62|549.05|578.8|587.16|575.29|564.96|513.31
201605|23040610406001000001|925077.8125|1932715|494.44|492.02|515.27|464.18|475.92|403.93|326.24
201605|23040610406001000001|925078.3125|1932767|520.04|517.54|557.24|513.56|529.97|483.91|372.99
201605|23040610406001000001|925029.625|1932819|264.46|262.81|286.76|273.78|276.99|265.94|206.05
201605|23040610406001000001|925078.6875|1932818|538.79|536.16|561.5|505.83|518.62|440.17|355.5
201605|23040610406001000001|925029.125|1932767|514.19|510.94|541.72|506.06|508.12|455.92|369.7
201605|23040610407001000001|925229.5|1933176|749.22|730.59|783.78|727.37|740.45|653.2|509.74
201605|23040610407001000001|925326.875|1933073|290.64|290.68|312.45|342.54|332|361.4|337.95
201605|23040610407001000001|925278.1875|1933125|20.38|19.66|21.41|19.94|20.38|19.12|15.33
201605|23040610407001000001|925278.625|1933176|275.97|275|292.49|260.46|274.08|237.82|182.27
201605|23040610407001000001|925327.375|1933124|288.93|288.97|310.62|340.52|330.04|359.28|335.96
201605|23040610407001000001|925327.8125|1933175|251.5|250.6|266.55|237.36|249.76|216.72|166.1
201605|23040610407001000001|925279.125|1933227|259.7|258.79|275.24|245.1|257.92|223.79|171.53
