STD_YM|BLOCK_CD|X_COORD|Y_COORD|FLOW_POP_CNT_MON|FLOW_POP_CNT_TUS|FLOW_POP_CNT_WED|FLOW_POP_CNT_THU|FLOW_POP_CNT_FRI|FLOW_POP_CNT_SAT|FLOW_POP_CNT_SUN
201508|23040610401001000001|925374.1875|1932867|480.51|467.56|468.9|485.74|498.64|467.69|358.11
201508|23040610401001000001|925669.8125|1932916|128.44|121.35|124.82|130.62|121.23|76.01|53.3
201508|23040610401001000001|925373.8125|1932815|172.86|163.9|168.54|175.72|164.62|105.42|74.28
201508|23040610401001000001|925519|1932557|888.27|841.87|864.86|900.72|857.88|601.69|463.57
201508|23040610401001000001|925520.875|1932763|1017.65|976.01|992.12|1030.32|1015.65|823.68|631.79
201508|23040610401001000001|925372.8125|1932713|613.2|581.73|597.89|621.67|593.4|416.65|319.67
201508|23040610401001000001|925522.3125|1932917|147.67|139.59|143.8|150|139.68|87.97|61.49
201508|23040610401001000001|925620.125|1932865|10.1|9.61|10.11|10.1|9.85|6.57|4.41
201508|23040610401001000001|925325.125|1932867|656.47|634.22|639.96|664.54|666.18|577.84|436.33
201508|23040610401001000001|925668.375|1932761|139.96|132.21|135.99|142.3|132.08|82.82|58.07
201508|23040610401001000001|925422.5|1932764|454.09|442.21|454.05|469.15|451.2|323.69|238.11
201508|23040610401001000001|925571.875|1932968|251.71|248.88|255.33|262.46|256.13|194.42|145.76
201508|23040610401001000001|925520.375|1932711|28.25|27.33|28.3|28.51|28.43|20.36|14.41
201508|23040610401001000001|925422.125|1932712|161.3|152.47|157.06|163.84|152.59|96.08|67.17
201508|23040610401001000001|925519.875|1932660|161.02|152.12|156.47|163.72|151.97|95.28|66.81
201508|23040610401001000001|925470.8125|1932660|171.85|162.44|167.33|174.55|162.54|102.37|71.56
201508|23040610401001000001|925619.6875|1932813|16.87|16.48|16.9|17.11|17.3|12.89|9.37
201508|23040610401001000001|925423.375|1932866|28.59|27.66|28.64|28.87|28.78|20.62|14.59
201508|23040610401001000001|925473.125|1932917|305.19|301.18|309.22|317.32|310.24|234.34|174.85
201508|23040610401001000001|925569.625|1932711|593.01|562.58|578.19|601.17|573.88|402.94|309.15
201508|23040610401001000001|925471.8125|1932763|174.07|165.07|169.96|176.77|166|106.58|74.87
201508|23040610401001000001|925570.625|1932814|17.16|16.77|17.2|17.41|17.59|13.11|9.53
201508|23040610401001000001|925470.375|1932609|683.53|647.83|665.53|693.11|660.16|463.02|356.72
201508|23040610401001000001|925522.6875|1932968|130.2|123.01|126.52|132.4|122.88|77.04|54.05
201508|23040610401001000001|925471.3125|1932712|177.15|168|172.99|179.92|168.94|108.47|76.2
201508|23040610401001000001|925519.5|1932609|707.47|670.52|688.85|717.39|683.27|479.24|369.22
201508|23040610401001000001|925619.1875|1932762|162.4|153.98|158.33|165.09|154.66|99.03|69.78
201508|23040610401001000001|925521.8125|1932865|16.77|16.39|16.81|17.02|17.2|12.81|9.31
