STD_YM|BLOCK_CD|X_COORD|Y_COORD|FLOW_POP_CNT_MON|FLOW_POP_CNT_TUS|FLOW_POP_CNT_WED|FLOW_POP_CNT_THU|FLOW_POP_CNT_FRI|FLOW_POP_CNT_SAT|FLOW_POP_CNT_SUN
201602|23040610401001000001|925522.3125|1932917|110.62|104.08|107.19|124.51|125.03|69.29|48.15
201602|23040610401001000001|925519.5|1932609|250.69|245.47|257.61|279.99|290.04|209.63|157.57
201602|23040610401001000001|925669.8125|1932916|5.85|6.86|7.12|8.22|8.5|5.85|4.09
201602|23040610401001000001|925669.3125|1932864|115.12|109.73|113.07|131.29|132.09|74.41|51.74
201602|23040610401001000001|925471.3125|1932712|137.35|134.11|138.13|159.84|161.32|93.9|65.85
201602|23040610401001000001|925422.125|1932712|321.27|309.96|323.05|359.89|368.49|243.3|178.58
201602|23040610401001000001|925571.875|1932968|199.48|201.06|209.17|231.21|240.07|178.71|121.6
201602|23040610401001000001|925619.6875|1932813|10.58|13.16|13.51|15.13|15.7|11.77|8.72
201602|23040610401001000001|925423.375|1932866|242.13|246.65|256.43|283.65|294.5|219.31|149.98
201602|23040610401001000001|925520.375|1932711|17.76|21.59|22.26|25.22|26.14|18.98|13.79
201602|23040610401001000001|925522.6875|1932968|104.59|98.4|101.32|117.72|118.21|65.51|45.53
201602|23040610401001000001|925570.625|1932814|117.33|110.4|113.69|132.07|132.61|73.5|51.06
201602|23040610401001000001|925472.625|1932866|10.66|13.26|13.61|15.26|15.83|11.87|8.8
201602|23040610401001000001|925569.625|1932711|320.61|309.32|322.39|359.14|367.73|242.8|178.22
201602|23040610401001000001|925471.8125|1932763|17.45|21.22|21.88|24.78|25.69|18.66|13.56
201602|23040610401001000001|925372.8125|1932713|225.36|225.06|235.76|257.32|266.57|192.75|144.4
201602|23040610401001000001|925372.375|1932661|343.14|331.05|345.02|384.37|393.55|259.84|190.74
201602|23040610401001000001|925421.625|1932661|232.66|232.35|243.41|265.67|275.22|199|149.08
201602|23040610401001000001|925668.375|1932761|112.41|105.76|108.91|126.53|127.05|70.41|48.93
201602|23040610401001000001|925667.875|1932710|115.97|109.11|112.37|130.55|131.09|72.64|50.48
201602|23040610401001000001|925521.3125|1932814|234.68|239.06|248.52|274.91|285.44|212.56|145.37
201602|23040610401001000001|925422.5|1932764|347.61|342.33|354.97|398.88|409.58|279.2|191.06
201602|23040610401001000001|925422.875|1932815|556.43|555.75|577.21|634.23|648.64|465.69|342.12
201602|23040610401001000001|925520.875|1932763|532.61|529.26|549.87|603.89|617.4|442.75|325.21
201602|23040610401001000001|925472.1875|1932815|206.4|204.96|214.79|233.92|242.33|175.58|131.86
201602|23040610401001000001|925325.125|1932867|250.74|262.04|270.99|292.5|298.71|237.08|174.36
201602|23040610401001000001|925521.8125|1932865|10.52|13.08|13.43|15.05|15.61|11.7|8.68
201602|23040610401001000001|925620.125|1932865|6.37|7.46|7.75|8.93|9.24|6.36|4.46
201602|23040610401001000001|925619.1875|1932762|10.71|13.31|13.66|15.33|15.9|11.91|8.84
201602|23040610401001000001|925374.1875|1932867|242.78|253.72|262.38|283.2|289.22|229.55|168.82
201602|23040610401001000001|925473.125|1932917|10.6|13.17|13.52|15.16|15.72|11.78|8.74
201602|23040610401001000001|925519.875|1932660|129.32|121.68|125.31|145.57|146.19|81.02|56.29
201602|23040610401001000001|925470.8125|1932660|136.03|129.66|133.61|155.14|156.1|87.93|61.14
201602|23040610401001000001|925620.625|1932916|6.19|7.24|7.53|8.67|8.97|6.18|4.33
201602|23040610401001000001|925568.6875|1932608|247.44|242.29|254.27|276.38|286.29|206.91|155.53
201602|23040610401001000001|925519|1932557|504.48|486.71|507.26|565.11|578.6|382.04|280.41
201602|23040610401001000001|925470.375|1932609|388.19|374.52|390.34|434.86|445.25|293.98|215.79
201602|23040610401001000001|925570.125|1932762|128.75|124.41|128.06|148.23|149.36|85.92|60.27
201602|23040610401001000001|925373.8125|1932815|366.39|369.94|382.07|422.32|428.91|306.77|222.46
201602|23040610402001000001|924232|1931644|59.76|58.72|59.01|70.86|70.88|30.67|21.06
201602|23040610402001000001|924182.8125|1931645|29.76|29.6|30.32|34.33|36.45|24.09|14.08
201602|23040610402001000001|924085.8125|1931800|420.37|419.94|429.62|486.2|497.11|306.75|220.66
201602|23040610402001000001|924135.125|1931799|144.38|145.94|149.05|159.81|165.37|123.16|100.11
201602|23040610402001000001|924183.3125|1931696|1074.4|1061.44|1101.02|1267.88|1283.69|642.69|446.2
201602|23040610402001000001|924280.6875|1931592|31.23|30.68|30.82|37.02|37.02|16.02|11
201602|23040610402001000001|924134.625|1931748|242.92|240.07|243.59|276.6|280.83|163.25|124.96
201602|23040610402001000001|924232.5|1931696|84.42|83.95|86.11|91.69|94.78|71.7|58.68
201602|23040610402001000001|924330.375|1931643|63.01|63.7|65.05|69.75|72.18|53.76|43.69
201602|23040610402001000001|924183.6875|1931747|120.81|120.15|123.24|131.21|135.64|102.61|83.98
201602|23040610402001000001|924231.625|1931593|17.06|16.98|17.39|19.7|20.9|13.81|8.07
201602|23040610403001000001|924206.625|1934264|303.26|298.38|315.21|352.43|361.67|244.61|162.29
201602|23040610403001000001|924256.6875|1934367|75.61|75.6|80.52|88.62|90.95|64.01|41.21
201602|23040610403001000001|924305.8125|1934366|80.6|80.59|85.84|94.47|96.95|68.25|43.94
201602|23040610403001000001|924207|1934316|76.93|76.92|81.94|90.17|92.53|65.14|41.94
201602|23040610403001000001|924157.375|1934265|3.69|4.59|4.71|5.28|5.47|4.11|3.04
201602|23040610403001000001|924157|1934213|166.52|162.83|171.47|192.88|197.94|131.78|88.48
201602|23040610403001000001|924206.125|1934213|302.17|297.31|314.09|351.17|360.39|243.72|161.71
201602|23040610403001000001|924256.3125|1934315|249.34|243.82|256.75|288.82|296.39|197.33|132.5
201602|23040610404001000001|924254.375|1934110|349.75|345.63|364.91|408.02|418.82|283.88|188.85
201602|23040610404001000001|924353.625|1934212|369.62|365.26|385.63|431.2|442.6|299.99|199.56
201602|23040610404001000001|924354.625|1934314|95.56|95.56|101.79|112.02|114.96|80.91|52.09
201602|23040610404001000001|924354.125|1934263|103.17|103.17|109.89|120.94|124.11|87.36|56.24
201602|23040610404001000001|924205.625|1934161|5.02|6.24|6.41|7.18|7.45|5.58|4.13
201602|23040610404001000001|924255.3125|1934212|357.96|352.2|372.06|416|426.91|288.72|191.57
201602|23040610404001000001|924303.875|1934161|357.37|353.15|372.84|416.9|427.92|290.04|192.96
201602|23040610404001000001|924255.8125|1934264|373.17|367.15|387.87|433.65|445.03|300.98|199.69
201602|23040610404001000001|924305.375|1934315|371.27|365.29|385.91|431.47|442.78|299.45|198.69
201602|23040610404001000001|924403.3125|1934262|313.05|314.46|333.94|354.99|370.88|291.8|203.16
201602|23040610404001000001|924304.875|1934263|402.32|395.85|418.18|467.54|479.82|324.49|215.31
201602|23040610404001000001|924254.8125|1934161|336.36|330.94|349.62|390.9|401.15|271.31|180
201602|23040610404001000001|924304.375|1934212|380|373.88|394.97|441.61|453.19|306.5|203.35
201602|23040610405001000001|925082.375|1933229|564.3|576.38|597.96|652.5|671.68|517.06|366.08
201602|23040610405001000001|924984.125|1933230|336.79|343.08|356.67|394.55|409.64|305.06|208.64
201602|23040610405001000001|925033.8125|1933281|312.9|318.75|331.36|366.56|380.59|283.41|193.83
201602|23040610405001000001|925081.875|1933178|298.31|300.66|312.79|345.75|359.01|267.24|181.84
201602|23040610405001000001|925032.8125|1933178|324.17|330.23|343.3|379.76|394.3|293.63|200.81
201602|23040610405001000001|925032.375|1933127|314.72|317.2|329.99|364.75|378.74|281.93|191.84
201602|23040610405001000001|924934.375|1933179|691.51|709.94|736.32|804.09|827.94|636.83|451.5
201602|23040610405001000001|924983.625|1933179|1020.98|1012.39|1061.37|1187.15|1223.13|847.21|572.72
201602|23040610405001000001|925033.3125|1933229|949.65|941.63|987.22|1104.21|1137.67|788.02|532.7
201602|23040610405001000001|925131.125|1933177|903.97|892.78|936.38|1047.31|1078.9|746.12|503.33
201602|23040610406001000001|925079.1875|1932869|262.99|272.26|281.67|303.34|309.48|246.48|181.18
201602|23040610406001000001|925078.3125|1932767|212.72|214.32|224.81|251.62|256.26|174.71|120.15
201602|23040610406001000001|925029.625|1932819|142.52|134.1|138.09|160.42|161.08|89.27|62.04
201602|23040610406001000001|925078.6875|1932818|229.78|224.99|236.11|256.63|265.84|192.13|144.43
201602|23040610406001000001|925127.5|1932766|487.4|494.6|514.83|557.44|572.94|436.34|323.95
201602|23040610406001000001|925029.125|1932767|448.53|445.41|467.32|515.44|529.4|371.8|267.94
201602|23040610406001000001|925077.8125|1932715|210.86|206.47|216.67|235.51|243.96|176.32|132.54
201602|23040610406001000001|925127.875|1932818|256.8|265.85|275.04|296.2|302.2|240.68|176.92
201602|23040610407001000001|925278.1875|1933125|13.42|16.68|17.12|19.19|19.9|14.92|11.06
201602|23040610407001000001|925326.875|1933073|256.27|267.83|276.97|298.95|305.29|242.31|178.2
201602|23040610407001000001|925229.5|1933176|868.34|861.03|902.71|1009.67|1040.27|720.54|487.1
201602|23040610407001000001|925279.125|1933227|244.79|246.73|256.67|283.71|294.59|219.3|149.21
201602|23040610407001000001|925327.8125|1933175|237.06|238.93|248.56|274.74|285.28|212.37|144.5
201602|23040610407001000001|925278.625|1933176|260.13|262.18|272.77|301.5|313.05|233.04|158.57
201602|23040610407001000001|925327.375|1933124|254.77|266.24|275.34|297.19|303.51|240.88|177.15
201602|23040610408001000001|923396.3125|1931703|15.11|15.03|15.39|17.43|18.51|12.23|7.15
201602|23040610408001000001|923743.875|1932060|61.26|64.32|65.36|74.22|78.42|52.05|32.57
201602|23040610408001000001|924037.125|1931852|50.28|50.04|51.26|58.05|61.62|40.72|23.8
201602|23040610408001000001|923893.3125|1932264|35.17|34.98|35.84|40.59|43.08|28.47|16.64
201602|23040610408001000001|924285.3125|1932106|461.79|453.74|482|540.25|558.81|355.15|253.76
201602|23040610408001000001|923691.375|1931701|31.56|31.4|32.16|36.43|38.66|25.54|14.94
201602|23040610408001000001|923791.6875|1931905|36.92|36.73|37.62|42.6|45.23|29.89|17.47
201602|23040610408001000001|923989.3125|1932006|123.92|124.32|129.4|145.38|150.12|101.28|66.21
201602|23040610408001000001|924140.1875|1932364|59.94|60.14|62.6|70.32|72.61|48.98|32.03
201602|23040610408001000001|924236.1875|1932107|88.79|89.45|93.83|105.01|106.96|72.92|50.14
201602|23040610408001000001|924335.5|1932208|382.2|376.61|400.37|448.34|461.77|295.78|213.06
201602|23040610408001000001|923541.5|1931445|181.09|159.97|160.55|181.1|188.88|100.39|68.02
201602|23040610408001000001|923143.3125|1930935|102.08|90.17|90.51|102.09|106.47|56.59|38.35
201602|23040610408001000001|923142.3125|1930832|134.03|118.39|118.82|134.04|139.79|74.3|50.35
201602|23040610408001000001|922996.6875|1931039|43.06|41.02|40.35|48.97|53.36|17.81|10.74
201602|23040610408001000001|924136|1931902|224.51|216.66|215.84|256.44|277.29|119.11|70.81
201602|23040610408001000001|923047.3125|1931193|55.48|52.86|52|63.1|68.77|22.96|13.83
201602|23040610408001000001|923346.1875|1931601|52.59|50.09|49.28|59.8|65.17|21.75|13.1
201602|23040610408001000001|923439.375|1931035|141.02|134.32|132.17|160.38|174.76|58.34|35.15
201602|23040610408001000001|923196.3125|1931346|67.51|64.3|63.27|76.78|83.67|27.92|16.84
201602|23040610408001000001|923444.625|1931600|85.41|82.42|82.11|97.54|105.48|45.31|26.94
201602|23040610408001000001|923295.125|1931396|161.58|142.73|143.25|161.59|168.52|89.57|60.7
201602|23040610408001000001|923588.3125|1931188|262.17|236.94|236.35|272.81|288.61|134.47|88.73
201602|23040610408001000001|923045.375|1930987|89.32|78.91|79.2|89.34|93.17|49.52|33.55
201602|23040610408001000001|922799.5|1930990|127.32|112.48|112.88|127.34|132.8|70.58|47.83
201602|23040610408001000001|922748.8125|1930836|121.33|107.54|107.93|121.81|126.95|67.6|45.79
201602|23040610408001000001|922748.375|1930785|120.63|106.56|106.95|120.64|125.81|66.87|45.32
201602|23040610408001000001|923586.875|1931034|8.32|10.34|10.09|11.79|12.13|7.54|5.45
201602|23040610408001000001|923841.8125|1932007|7.09|8.76|8.52|9.88|10.34|6.41|4.75
201602|23040610408001000001|923387.8125|1930779|8.53|10.61|10.35|12.09|12.44|7.74|5.59
201602|23040610408001000001|923492.8125|1931497|6.66|8.27|8.09|9.44|9.71|6.03|4.37
201602|23040610408001000001|923788.375|1931546|30.93|30.77|31.51|35.69|37.88|25.04|14.64
201602|23040610408001000001|923689.625|1931495|30.21|30.06|30.78|34.87|37.01|24.45|14.3
201602|23040610408001000001|923891.375|1932058|39.78|39.59|40.55|45.92|48.75|32.21|18.84
201602|23040610408001000001|923842.6875|1932110|42.89|42.67|43.71|49.49|52.53|34.71|20.29
201602|23040610408001000001|923988.875|1931955|43.1|42.89|43.93|49.74|52.81|34.89|20.4
201602|23040610408001000001|923542.875|1931599|27.7|27.56|28.22|31.97|33.93|22.43|13.12
201602|23040610408001000001|923840.375|1931853|39.26|39.07|40.01|45.32|48.11|31.79|18.59
201602|23040610408001000001|923938.3125|1931801|41.95|41.73|42.74|48.41|51.39|33.96|19.85
201602|23040610408001000001|923987|1931749|41.31|41.11|42.09|47.67|50.61|33.44|19.55
201602|23040610408001000001|923245.5|1931345|69.99|66.66|65.6|79.6|86.74|28.95|17.45
201602|23040610408001000001|923046.8125|1931141|50.58|48.18|47.41|57.53|62.69|20.93|12.61
201602|23040610408001000001|922700.125|1930888|55.2|52.57|51.73|62.78|68.41|22.84|13.75
201602|23040610408001000001|923540.125|1931291|72.63|69.19|68.07|82.6|90.01|30.06|18.11
201602|23040610408001000001|923345.3125|1931498|58.68|55.89|54.99|66.73|72.71|24.27|14.63
201602|23040610408001000001|922948.875|1931194|130.59|115.35|115.78|130.6|136.2|72.38|49.05
201602|23040610408001000001|924042.1875|1932416|15.56|16.04|16.29|18.51|19.6|12.82|7.81
201602|23040610408001000001|923942.375|1932263|30.52|30.37|31.11|35.23|37.39|24.71|14.44
201602|23040610408001000001|923892.375|1932161|40.73|40.52|41.51|47|49.89|32.97|19.28
201602|23040610408001000001|924136.375|1931953|63.02|62.7|64.23|72.74|77.21|51.01|29.84
201602|23040610408001000001|923987.375|1931801|43.6|43.39|44.45|50.32|53.43|35.31|20.64
