Column       MSE            MAE            RMSE           RSE            PC             R^2            
col_442      2.39792e-01    4.89320e-01    4.89686e-01    6.69717e+02    NaN            -6.68717e+02   
col_443      3.68204e-03    5.32804e-02    6.06798e-02    1.38672e+00    -5.99792e-01   -3.86702e-01   
col_444      1.21547e-02    1.09824e-01    1.10248e-01    6.34123e+01    7.18963e-01    -6.24124e+01   
col_445      4.38599e-02    2.08565e-01    2.09427e-01    6.63441e+02    -8.33052e-01   -6.62441e+02   
col_446      5.69520e-01    7.46954e-01    7.54666e-01    4.43606e+01    4.76381e-01    -4.33606e+01   
col_447      6.46616e-02    2.49283e-01    2.54287e-01    2.26594e+01    3.45232e-01    -2.16594e+01   
col_448      1.00555e-03    2.94348e-02    3.17104e-02    2.96441e+00    8.02711e-01    -1.96452e+00   
col_449      4.46275e-02    1.98020e-01    2.11252e-01    9.82718e+00    -5.51337e-01   -8.82717e+00   
col_450      1.07841e-01    3.28080e-01    3.28391e-01    5.27946e+02    NaN            -5.26946e+02   
col_451      9.48142e-03    9.59265e-02    9.73726e-02    2.36317e+01    5.51509e-01    -2.26318e+01   
col_452      1.52168e-03    3.75163e-02    3.90087e-02    1.11308e+00    6.75779e-01    -1.13085e-01   
col_453      1.88109e-01    4.30621e-01    4.33715e-01    5.17764e+01    7.64415e-01    -5.07764e+01   
col_454      1.42061e-01    3.76553e-01    3.76910e-01    7.39372e+02    1.75244e-01    -7.38372e+02   
col_455      1.27131e-01    3.56479e-01    3.56554e-01    5.81941e+02    8.68757e-01    -5.80941e+02   
col_456      4.06421e-02    2.00048e-01    2.01599e-01    1.19157e+02    -2.80184e-01   -1.18157e+02   
col_457      8.21208e-02    2.84404e-01    2.86567e-01    9.94759e+01    -4.13381e-01   -9.84759e+01   
col_458      1.55309e-01    3.93234e-01    3.94093e-01    1.62531e+02    5.60557e-01    -1.61531e+02   
col_459      7.87862e-02    2.79619e-01    2.80689e-01    3.32183e+02    -4.60250e-01   -3.31183e+02   
col_460      1.78134e-02    1.32159e-01    1.33467e-01    7.30866e+01    1.53576e-01    -7.20865e+01   
col_461      3.10344e-02    1.76029e-01    1.76166e-01    5.32011e+01    9.83076e-01    -5.22011e+01   
col_462      4.09395e-01    6.39539e-01    6.39840e-01    6.93170e+02    5.93163e-01    -6.92170e+02   
col_463      3.23618e-01    5.68579e-01    5.68874e-01    7.28422e+02    5.02195e-01    -7.27422e+02   
col_464      9.94360e-02    3.14558e-01    3.15335e-01    1.77994e+02    8.01698e-01    -1.76994e+02   
col_465      1.79269e-02    1.30018e-01    1.33892e-01    1.31839e+01    5.02539e-01    -1.21839e+01   
col_466      6.06362e-01    7.76721e-01    7.78693e-01    1.62152e+02    5.83585e-01    -1.61152e+02   
col_467      6.51735e-01    8.06984e-01    8.07301e-01    3.12587e+03    -4.80421e-01   -3.12487e+03   
col_468      1.00642e-01    3.17072e-01    3.17241e-01    8.06675e+02    7.17325e-01    -8.05675e+02   
col_469      5.66514e-01    7.51339e-01    7.52671e-01    2.31351e+02    5.26103e-01    -2.30351e+02   
col_470      4.04403e-01    6.35070e-01    6.35927e-01    3.54536e+02    2.27462e-01    -3.53536e+02   
col_471      4.23598e-01    6.50358e-01    6.50844e-01    6.07511e+02    3.14502e-01    -6.06511e+02   
col_472      7.94710e-03    5.70510e-02    8.91465e-02    1.63107e+00    -5.13941e-01   -6.31065e-01   
col_473      6.84737e-01    8.27017e-01    8.27489e-01    6.84921e+02    4.94110e-01    -6.83921e+02   
col_474      6.66831e-01    8.15935e-01    8.16597e-01    8.51065e+02    -6.67726e-01   -8.50065e+02   
col_475      1.68281e+00    1.29704e+00    1.29723e+00    1.23663e+04    -9.32675e-01   -1.23653e+04   
col_476      1.47023e-01    3.83360e-01    3.83436e-01    7.22817e+03    7.51141e-01    -7.22717e+03   
col_477      1.59832e+00    1.26412e+00    1.26424e+00    2.04540e+04    -6.38334e-01   -2.04530e+04   
col_478      6.98607e-04    2.47495e-02    2.64312e-02    3.72991e+01    3.85430e-01    -3.62986e+01   
col_479      2.20961e-02    1.47458e-01    1.48648e-01    6.27545e+01    NaN            -6.17545e+01   
col_480      2.58133e-01    5.07737e-01    5.08068e-01    7.67804e+02    NaN            -7.66804e+02   
col_481      7.08172e-04    2.31528e-02    2.66115e-02    4.11438e+00    NaN            -3.11438e+00   
col_482      1.78893e-01    4.18449e-01    4.22958e-01    4.71536e+01    NaN            -4.61536e+01   
col_483      1.90487e-01    4.35486e-01    4.36448e-01    2.27084e+02    NaN            -2.26084e+02   
col_484      6.54585e-02    2.54783e-01    2.55849e-01    1.20351e+02    NaN            -1.19351e+02   
col_485      1.02538e-02    9.22577e-02    1.01261e-01    2.97287e+00    -6.96721e-01   -1.97287e+00   
col_486      4.23182e-02    2.04698e-01    2.05714e-01    1.01515e+02    NaN            -1.00515e+02   
col_487      9.28478e-02    2.97651e-01    3.04709e-01    2.18380e+01    NaN            -2.08380e+01   
col_488      1.66336e-02    1.28587e-01    1.28971e-01    1.67861e+02    NaN            -1.66861e+02   
col_489      1.99092e-02    1.22478e-01    1.41100e-01    6.97440e+00    -8.39486e-01   -5.97440e+00   
col_490      1.26131e-01    3.54875e-01    3.55150e-01    5.27722e+03    -4.60129e-01   -5.27622e+03   
col_491      1.43134e-01    3.74752e-01    3.78331e-01    6.46062e+01    -5.53333e-01   -6.36062e+01   
col_492      1.95655e-01    4.40808e-01    4.42329e-01    5.72727e+02    7.66527e-01    -5.71727e+02   
col_493      2.85065e-02    1.67001e-01    1.68839e-01    4.99105e+02    7.96544e-02    -4.98105e+02   
col_494      1.39446e+00    1.17954e+00    1.18087e+00    1.78265e+03    -6.54950e-01   -1.78165e+03   
col_495      4.07107e-03    6.01789e-02    6.38049e-02    9.05555e+00    NaN            -8.05555e+00   
col_496      9.85955e-04    2.94656e-02    3.13999e-02    8.37431e+00    NaN            -7.37431e+00   
col_497      1.70729e-01    4.11088e-01    4.13193e-01    7.62366e+01    5.34104e-01    -7.52366e+01   
col_498      2.21170e-02    1.44837e-01    1.48718e-01    1.94121e+01    NaN            -1.84121e+01   
col_499      1.52733e-01    3.86567e-01    3.90811e-01    4.62961e+01    NaN            -4.52961e+01   
col_500      2.23735e-03    4.70697e-02    4.73006e-02    1.02659e+02    NaN            -1.01659e+02   
col_501      1.48258e-01    3.77354e-01    3.85043e-01    2.52926e+01    NaN            -2.42926e+01   
col_502      1.59925e-01    3.93311e-01    3.99906e-01    3.05703e+01    NaN            -2.95703e+01   
col_503      1.47035e-01    3.71838e-01    3.83452e-01    1.67627e+01    NaN            -1.57627e+01   
col_504      4.68854e-02    2.13427e-01    2.16530e-01    3.51361e+01    NaN            -3.41361e+01   
col_505      6.21427e-02    2.48528e-01    2.49284e-01    1.65066e+02    NaN            -1.64066e+02   
col_506      6.64783e-02    2.54191e-01    2.57834e-01    3.56379e+01    NaN            -3.46379e+01   
col_507      1.39017e-01    3.72692e-01    3.72850e-01    1.18342e+03    NaN            -1.18242e+03   
col_508      7.27213e-02    2.66320e-01    2.69669e-01    4.05160e+01    NaN            -3.95160e+01   
col_509      1.63410e-02    1.26586e-01    1.27832e-01    5.15405e+01    NaN            -5.05405e+01   
col_510      4.60983e-02    2.10410e-01    2.14705e-01    2.52460e+01    NaN            -2.42460e+01   
col_511      1.73146e-02    1.31398e-01    1.31585e-01    3.52307e+02    NaN            -3.51307e+02   
col_512      6.45659e-03    7.47260e-02    8.03529e-02    2.18808e+00    NaN            -1.18808e+00   
col_513      2.47929e-01    4.92878e-01    4.97924e-01    4.95875e+01    NaN            -4.85875e+01   
col_514      1.25910e-01    3.54169e-01    3.54837e-01    2.65774e+02    NaN            -2.64774e+02   
col_515      5.15023e-03    6.34106e-02    7.17651e-02    3.37653e+00    NaN            -2.37653e+00   
col_516      7.74932e-02    2.77988e-01    2.78376e-01    3.58820e+02    NaN            -3.57820e+02   
col_517      4.57558e-02    2.13099e-01    2.13906e-01    7.95231e+01    7.59367e-01    -7.85231e+01   
col_518      3.62688e-02    1.84251e-01    1.90444e-01    2.72012e+01    3.29840e-01    -2.62012e+01   
col_519      7.69601e-02    2.68425e-01    2.77417e-01    1.56806e+01    NaN            -1.46806e+01   
col_520      6.68184e+00    2.57969e+00    2.58493e+00    2.41930e+03    5.88316e-01    -2.41830e+03   
col_521      7.70199e-02    2.58329e-01    2.77525e-01    2.57971e+02    1.94514e-01    -2.56971e+02   
col_522      4.47192e-01    6.62749e-01    6.68724e-01    1.07689e+02    4.53980e-01    -1.06689e+02   
col_523      2.28537e-02    1.23495e-01    1.51174e-01    6.93162e+00    -7.90971e-01   -5.93161e+00   
col_524      9.02511e-02    2.80673e-01    3.00418e-01    2.06458e+01    -7.55752e-01   -1.96458e+01   
col_525      8.78606e-02    2.74196e-01    2.96413e-01    3.07509e+01    -6.03278e-01   -2.97509e+01   
col_526      1.57169e-02    1.24988e-01    1.25367e-01    1.65697e+02    NaN            -1.64697e+02   
col_527      2.37624e-02    1.52576e-01    1.54151e-01    4.92066e+01    NaN            -4.82066e+01   
col_528      9.79498e-04    2.74347e-02    3.12969e-02    1.02824e+00    NaN            -2.82445e-02   
col_529      1.10110e-01    3.26639e-01    3.31828e-01    1.53942e+02    7.57709e-01    -1.52942e+02   
col_530      1.80542e-02    1.13451e-01    1.34366e-01    5.02377e+00    -7.69155e-01   -4.02377e+00   
col_531      7.09495e-03    5.28640e-02    8.42315e-02    1.37295e+00    NaN            -3.72952e-01   
col_532      1.52646e-02    1.12700e-01    1.23550e-01    5.95511e+00    NaN            -4.95511e+00   
col_533      1.01152e-01    3.09706e-01    3.18043e-01    1.93263e+01    NaN            -1.83263e+01   
col_534      7.66549e-02    2.43765e-01    2.76866e-01    1.44279e+01    -6.77072e-01   -1.34279e+01   
col_535      4.62466e-01    6.75872e-01    6.80049e-01    1.02813e+02    -7.41250e-01   -1.01813e+02   
col_536      3.00500e-02    1.66293e-01    1.73349e-01    1.25390e+01    NaN            -1.15390e+01   
col_537      2.16387e-02    1.25100e-01    1.47101e-01    2.56636e+00    -6.46202e-01   -1.56636e+00   
col_538      3.39912e-02    1.83425e-01    1.84367e-01    9.80511e+01    NaN            -9.70511e+01   
col_539      5.54326e-02    2.06970e-01    2.35441e-01    1.29563e+01    -7.48727e-01   -1.19563e+01   
col_540      1.04635e-02    8.66266e-02    1.02291e-01    2.64792e+00    -6.11994e-01   -1.64792e+00   
col_541      7.57249e-01    8.69975e-01    8.70201e-01    1.93125e+03    NaN            -1.93025e+03   
col_542      6.65350e-02    2.57655e-01    2.57944e-01    3.59687e+02    6.69381e-01    -3.58688e+02   
col_543      1.82979e-02    1.19894e-01    1.35270e-01    9.60109e+00    -6.09250e-01   -8.60109e+00   
col_544      3.60818e-02    1.89775e-01    1.89952e-01    5.35494e+02    NaN            -5.34494e+02   
col_545      4.80353e-02    2.05433e-01    2.19170e-01    1.97473e+01    -5.57518e-01   -1.87473e+01   
col_546      4.04723e-03    5.52155e-02    6.36178e-02    4.05339e+00    NaN            -3.05339e+00   
col_547      3.18053e-02    1.73209e-01    1.78340e-01    1.76312e+01    NaN            -1.66312e+01   
col_548      2.38815e-02    1.48048e-01    1.54536e-01    1.21633e+01    NaN            -1.11633e+01   
col_549      1.76514e-01    4.08050e-01    4.20136e-01    3.41317e+01    -6.97811e-01   -3.31317e+01   
col_550      2.22070e-01    4.56359e-01    4.71243e-01    3.68414e+01    -7.32304e-01   -3.58414e+01   
col_551      1.61681e-02    1.26034e-01    1.27154e-01    5.70235e+01    NaN            -5.60235e+01   
col_552      1.02136e+00    1.00927e+00    1.01062e+00    1.49765e+03    -4.30110e-01   -1.49665e+03   
col_553      2.36551e-02    1.53277e-01    1.53802e-01    1.46608e+02    NaN            -1.45608e+02   
col_554      1.35907e+00    1.16566e+00    1.16579e+00    2.07976e+04    -8.64234e-01   -2.07966e+04   
col_555      1.45868e-01    3.81051e-01    3.81926e-01    1.91816e+02    3.52490e-01    -1.90816e+02   
col_556      1.57622e-01    3.87874e-01    3.97016e-01    1.82972e+01    7.60308e-01    -1.72972e+01   
col_557      4.18805e-01    6.42404e-01    6.47151e-01    5.44604e+01    7.99266e-01    -5.34604e+01   
col_558      7.49820e-02    2.72967e-01    2.73828e-01    7.56605e+01    9.19755e-01    -7.46605e+01   
col_559      6.10243e-03    6.43245e-02    7.81181e-02    1.60059e+00    -1.90616e-01   -6.00589e-01   
col_560      2.86030e-02    1.65125e-01    1.69124e-01    3.43720e+01    -5.83015e-01   -3.33720e+01   
col_561      3.43387e-01    5.85318e-01    5.85993e-01    2.97798e+02    6.67280e-01    -2.96798e+02   
col_562      1.04398e-01    3.21870e-01    3.23106e-01    8.45664e+01    7.35771e-01    -8.35664e+01   
col_563      6.47930e-03    7.74053e-02    8.04941e-02    6.65583e+00    9.00701e-01    -5.65585e+00   
col_564      2.21024e-01    4.65075e-01    4.70132e-01    3.71292e+01    8.03380e-01    -3.61292e+01   
col_565      9.87355e-02    3.13213e-01    3.14222e-01    3.12730e+02    6.75996e-01    -3.11730e+02   
col_566      3.57405e-01    5.96388e-01    5.97834e-01    1.34446e+02    9.13118e-01    -1.33446e+02   
col_567      4.60702e-02    2.06199e-01    2.14640e-01    1.39829e+01    2.46674e-01    -1.29829e+01   
col_568      3.85127e-03    5.37724e-02    6.20586e-02    4.47800e+00    5.95421e-01    -3.47800e+00   
col_569      3.74663e-02    1.88974e-01    1.93562e-01    1.40502e+01    5.91322e-01    -1.30502e+01   
col_570      2.65698e-03    5.07291e-02    5.15459e-02    9.05384e+01    6.12868e-01    -8.95387e+01   
col_571      5.02783e-03    6.32052e-02    7.09072e-02    4.86751e+00    NaN            -3.86751e+00   
col_572      5.34983e-01    7.15295e-01    7.31426e-01    1.39878e+02    -7.09310e-01   -1.38878e+02   
col_573      2.56964e-01    5.04629e-01    5.06916e-01    1.78535e+02    4.25536e-03    -1.77535e+02   
col_574      2.24886e-03    4.60129e-02    4.74222e-02    3.37479e+00    1.61152e-02    -2.37475e+00   
col_575      1.22012e-01    3.47743e-01    3.49302e-01    1.12285e+02    NaN            -1.11285e+02   
col_576      1.70418e-02    1.28743e-01    1.30544e-01    4.91546e+01    1.03031e-02    -4.81545e+01   
col_577      2.84315e-01    5.32803e-01    5.33212e-01    6.52484e+02    NaN            -6.51484e+02   
col_578      4.14818e-02    1.87302e-01    2.03671e-01    2.07736e+02    -8.13455e-01   -2.06736e+02   
col_579      5.99823e-01    7.63962e-01    7.74482e-01    6.89034e+01    -5.81056e-01   -6.79034e+01   
col_580      2.31844e-01    4.81103e-01    4.81501e-01    6.04497e+02    NaN            -6.03497e+02   
col_581      2.38243e-01    4.88021e-01    4.88101e-01    3.03027e+03    NaN            -3.02927e+03   
col_582      1.68018e-02    1.21635e-01    1.29622e-01    8.37253e+00    NaN            -7.37253e+00   
col_583      1.79581e-01    4.23466e-01    4.23770e-01    6.97206e+02    NaN            -6.96206e+02   
col_584      4.02020e-02    1.96682e-01    2.00504e-01    2.64804e+01    NaN            -2.54804e+01   
col_585      7.19691e-02    2.66265e-01    2.68271e-01    6.71213e+01    NaN            -6.61213e+01   
col_586      4.34496e-03    4.93107e-02    6.59163e-02    7.27282e+00    -7.64920e-01   -6.27280e+00   
col_587      8.66032e-02    2.88362e-01    2.94284e-01    9.94743e+01    4.23520e-01    -9.84743e+01   
col_588      1.50528e-02    1.05718e-01    1.22690e-01    7.70045e+01    -7.04346e-01   -7.60044e+01   
col_589      2.17153e-01    4.65866e-01    4.65997e-01    1.78478e+03    NaN            -1.78378e+03   
col_590      3.04825e-01    5.51049e-01    5.52109e-01    2.60686e+02    NaN            -2.59686e+02   
col_591      4.63573e-01    6.79304e-01    6.80862e-01    6.85573e+02    4.37855e-01    -6.84573e+02   
col_592      3.61770e-02    1.83947e-01    1.90203e-01    3.69672e+01    3.17160e-01    -3.59672e+01   
col_593      1.68976e-01    4.06307e-01    4.11067e-01    7.08930e+01    -4.26947e-01   -6.98930e+01   
col_594      1.35473e-01    3.67237e-01    3.68066e-01    2.16913e+03    -2.65440e-01   -2.16813e+03   
col_595      1.81283e-02    1.34150e-01    1.34641e-01    1.37287e+02    NaN            -1.36287e+02   
col_596      2.20618e-01    4.64026e-01    4.69700e-01    4.16390e+01    NaN            -4.06390e+01   
col_597      2.40808e+00    1.54969e+00    1.55180e+00    1.56635e+03    -2.34357e-01   -1.56535e+03   
col_598      1.97615e-01    4.42929e-01    4.44539e-01    1.38302e+02    NaN            -1.37302e+02   
col_599      7.07376e-02    2.65904e-01    2.65965e-01    2.15017e+03    NaN            -2.14917e+03   
col_600      3.72442e-01    6.08546e-01    6.10281e-01    7.30951e+02    -5.18426e-01   -7.29951e+02   
col_601      8.19382e-01    9.03210e-01    9.05197e-01    7.58661e+02    -3.33611e-01   -7.57661e+02   
col_602      4.53911e-01    6.66793e-01    6.73729e-01    4.88214e+01    NaN            -4.78214e+01   
col_603      2.62625e-02    1.61374e-01    1.62057e-01    4.34735e+01    7.97918e-01    -4.24735e+01   
col_604      4.01200e-04    1.57820e-02    2.00300e-02    2.17627e+00    5.90437e-01    -1.17627e+00   
col_605      5.35431e-02    2.23381e-01    2.31394e-01    3.64441e+02    -6.21376e-01   -3.63441e+02   
col_606      1.98864e-01    4.37881e-01    4.45941e-01    9.21456e+01    -5.37655e-01   -9.11456e+01   
col_607      1.39028e-03    3.14531e-02    3.72865e-02    7.81981e-01    6.82480e-01    2.18018e-01    
col_608      7.14691e-02    2.65960e-01    2.67337e-01    8.21158e+01    7.34851e-01    -8.11158e+01   
col_609      2.75875e-02    1.57897e-01    1.66095e-01    1.50403e+02    -2.07481e-01   -1.49403e+02   
col_610      6.33131e-02    2.51169e-01    2.51621e-01    2.78535e+02    NaN            -2.77535e+02   
col_611      1.50803e-03    2.95963e-02    3.88333e-02    1.04550e+00    NaN            -4.55013e-02   
col_612      1.83231e-01    4.27687e-01    4.28055e-01    4.83988e+02    4.65855e-01    -4.82988e+02   
col_613      1.31256e-03    3.43985e-02    3.62293e-02    2.45041e+00    NaN            -1.45041e+00   
col_614      4.80030e-03    5.47575e-02    6.92842e-02    2.66400e+00    NaN            -1.66400e+00   
col_615      7.67129e-03    7.07204e-02    8.75859e-02    2.98522e+00    6.96697e-01    -1.98522e+00   
col_616      1.44666e-02    1.08406e-01    1.20277e-01    2.85470e+00    7.35431e-01    -1.85470e+00   
col_617      3.03012e-02    1.71869e-01    1.74072e-01    3.97464e+01    NaN            -3.87464e+01   
col_618      6.03610e-02    2.40629e-01    2.45685e-01    2.45509e+01    NaN            -2.35509e+01   
col_619      6.78616e-02    2.49928e-01    2.60503e-01    8.91572e+00    5.42995e-01    -7.91572e+00   
col_620      1.90936e-01    4.36939e-01    4.36963e-01    9.13385e+03    NaN            -9.13285e+03   
col_621      1.41027e-02    1.14149e-01    1.18755e-01    9.51359e+00    7.51351e-01    -8.51359e+00   
col_622      5.54687e-01    7.41730e-01    7.44773e-01    8.20409e+01    5.88223e-01    -8.10409e+01   
col_623      6.09270e-02    2.43263e-01    2.46834e-01    3.48151e+01    NaN            -3.38151e+01   
col_624      2.60095e-02    1.57674e-01    1.61275e-01    1.89344e+01    5.14285e-01    -1.79344e+01   
col_625      1.12325e-01    3.26167e-01    3.35149e-01    1.89091e+01    NaN            -1.79091e+01   
col_626      1.21386e-02    1.00600e-01    1.10175e-01    6.01450e+00    NaN            -5.01450e+00   
col_627      2.47455e-01    4.97426e-01    4.97449e-01    1.10460e+04    NaN            -1.10450e+04   
col_628      2.85559e-03    4.83145e-02    5.34377e-02    1.56161e+00    NaN            -5.61611e-01   
col_629      2.52407e-03    4.21251e-02    5.02402e-02    1.69211e+00    2.98108e-01    -6.92114e-01   
col_630      7.67441e-01    8.74067e-01    8.76037e-01    2.22602e+02    NaN            -2.21602e+02   
col_631      1.10007e-02    9.05759e-02    1.04884e-01    6.16566e+00    1.83449e-01    -5.16566e+00   
col_632      2.50741e-02    1.55227e-01    1.58348e-01    3.55582e+01    2.33270e-01    -3.45582e+01   
col_633      3.28549e-02    1.81154e-01    1.81259e-01    8.62870e+02    NaN            -8.61870e+02   
col_634      4.29803e-02    1.97215e-01    2.07317e-01    1.69320e+01    -1.78701e-01   -1.59320e+01   
col_635      1.67778e-03    3.42467e-02    4.09607e-02    4.66082e+00    1.48650e-01    -3.66082e+00   
col_636      1.50318e-01    3.82161e-01    3.87708e-01    7.62742e+01    -1.54682e-01   -7.52742e+01   
col_637      2.22509e-01    4.69056e-01    4.71709e-01    3.83539e+02    -8.00987e-02   -3.82539e+02   
col_638      1.13853e-02    9.10369e-02    1.06702e-01    1.76436e+01    -5.41879e-01   -1.66436e+01   
col_639      8.49642e-02    2.83793e-01    2.91486e-01    1.91972e+01    NaN            -1.81972e+01   
col_640      1.73998e-03    3.89160e-02    4.17130e-02    1.42085e+01    -2.26707e-01   -1.32085e+01   
col_641      1.19057e-02    1.06076e-01    1.09113e-01    1.82165e+01    NaN            -1.72165e+01   
col_642      1.70941e-02    1.28789e-01    1.30745e-01    3.36862e+01    NaN            -3.26862e+01   
col_643      4.23523e-01    6.50512e-01    6.50787e-01    1.18474e+03    NaN            -1.18374e+03   
col_644      1.08005e-03    3.18423e-02    3.28641e-02    1.50886e+01    7.31034e-01    -1.40885e+01   
col_645      9.47814e-04    2.88887e-02    3.07866e-02    9.53430e+01    1.67940e-01    -9.43420e+01   
col_646      2.14210e-02    1.40777e-01    1.46359e-01    1.78694e+01    -3.19419e-01   -1.68694e+01   
col_647      1.03345e-01    3.20149e-01    3.21472e-01    8.93581e+01    5.85432e-01    -8.83581e+01   
col_648      1.62590e-01    4.03162e-01    4.03225e-01    3.21910e+03    NaN            -3.21810e+03   
col_649      2.25326e-02    1.50029e-01    1.50109e-01    2.86127e+02    9.23088e-01    -2.85127e+02   
col_650      1.38492e+00    1.17319e+00    1.17683e+00    1.44069e+02    5.05796e-01    -1.43069e+02   
col_651      1.48399e-01    3.73602e-01    3.85225e-01    1.36952e+01    7.70873e-01    -1.26952e+01   
col_652      5.93531e-02    2.40253e-01    2.43625e-01    2.42542e+01    6.95892e-01    -2.32542e+01   
col_653      7.69400e-01    8.73112e-01    8.77154e-01    9.39629e+01    5.66871e-01    -9.29629e+01   
col_654      1.32462e+00    1.14923e+00    1.15092e+00    2.82653e+02    4.53057e-01    -2.81653e+02   
col_655      3.18564e-01    5.62743e-01    5.64415e-01    1.38725e+02    4.84483e-01    -1.37725e+02   
col_656      5.92439e-01    7.67616e-01    7.69701e-01    1.48809e+02    6.02913e-01    -1.47809e+02   
col_657      5.42026e-02    2.32416e-01    2.32815e-01    2.88381e+02    4.25680e-01    -2.87381e+02   
col_658      8.79993e-02    2.95606e-01    2.96647e-01    8.26520e+01    7.06983e-01    -8.16520e+01   
col_659      1.35076e-02    1.14910e-01    1.16222e-01    1.87242e+01    7.95100e-01    -1.77242e+01   
col_660      3.13818e-01    5.59720e-01    5.60195e-01    5.89609e+02    NaN            -5.88609e+02   
col_661      1.16429e-01    3.36549e-01    3.41217e-01    5.35506e+01    -6.87816e-01   -5.25506e+01   
col_662      4.49246e-01    6.70117e-01    6.70258e-01    1.40301e+03    7.44082e-01    -1.40201e+03   
col_663      6.50589e-01    8.05943e-01    8.06591e-01    2.23227e+03    -9.60921e-02   -2.23127e+03   
col_664      8.03333e-01    8.91592e-01    8.96289e-01    2.62441e+02    -3.43958e-01   -2.61441e+02   
col_665      1.74187e-01    4.16824e-01    4.17358e-01    1.67129e+02    8.78529e-01    -1.66129e+02   
col_666      3.89290e-03    5.50841e-02    6.23931e-02    1.73138e+00    -4.52856e-01   -7.31383e-01   
col_667      2.26229e-03    4.51928e-02    4.75636e-02    2.90063e+00    NaN            -1.90063e+00   
col_668      4.79271e-02    2.18611e-01    2.18923e-01    1.55580e+02    7.52717e-01    -1.54580e+02   
col_669      1.50573e-01    3.84114e-01    3.88038e-01    1.23337e+02    -3.52345e-01   -1.22337e+02   
col_670      7.73132e-02    2.74261e-01    2.78053e-01    5.22230e+01    -2.93291e-01   -5.12229e+01   
col_671      8.20216e-03    8.35998e-02    9.05658e-02    5.55110e+00    5.38426e-01    -4.55110e+00   
col_672      5.14759e-02    2.20956e-01    2.26883e-01    6.82089e+01    -2.41455e-01   -6.72089e+01   
col_673      4.30632e-01    6.53057e-01    6.56225e-01    8.61627e+01    6.04950e-01    -8.51627e+01   
col_674      4.26751e-01    6.50590e-01    6.53261e-01    1.00754e+02    6.08285e-01    -9.97536e+01   
col_675      1.94731e-01    4.40978e-01    4.41283e-01    1.40782e+03    4.25957e-02    -1.40682e+03   
col_676      2.43442e-02    1.54297e-01    1.56026e-01    5.25803e+01    8.33019e-02    -5.15803e+01   
col_677      2.82956e-01    5.31142e-01    5.31936e-01    2.67583e+02    4.74579e-01    -2.66583e+02   
col_678      4.33134e-01    6.56967e-01    6.58129e-01    2.21392e+02    5.81593e-01    -2.20392e+02   
col_679      8.45122e-01    9.17511e-01    9.19305e-01    2.17919e+02    5.34002e-01    -2.16919e+02   
col_680      4.93823e-01    6.99336e-01    7.02726e-01    8.75395e+01    6.33615e-01    -8.65395e+01   
col_681      4.80423e-01    6.90209e-01    6.93126e-01    1.00731e+02    5.90782e-01    -9.97307e+01   
col_682      2.28493e-01    4.73842e-01    4.78009e-01    9.36103e+01    -7.50918e-01   -9.26103e+01   
col_683      6.73110e-02    2.54192e-01    2.59444e-01    3.94536e+02    -1.58427e-01   -3.93536e+02   
col_684      2.73746e-01    5.19408e-01    5.23207e-01    9.11123e+01    -6.93625e-01   -9.01123e+01   
col_685      5.24087e-02    2.27533e-01    2.28929e-01    8.22078e+01    NaN            -8.12078e+01   
col_686      4.36889e-01    6.56726e-01    6.60976e-01    7.80068e+01    NaN            -7.70068e+01   
col_687      8.70684e-03    9.14296e-02    9.33104e-02    2.50582e+01    NaN            -2.40582e+01   
col_688      1.01925e-02    8.98236e-02    1.00958e-01    4.79820e+00    NaN            -3.79820e+00   
col_689      9.91480e-03    8.89526e-02    9.95731e-02    3.21793e+00    NaN            -2.21793e+00   
col_690      1.12485e-01    3.33464e-01    3.35388e-01    8.73694e+01    NaN            -8.63694e+01   
col_691      3.88111e-02    1.91195e-01    1.97005e-01    1.72054e+01    NaN            -1.62054e+01   
col_692      1.23828e-01    3.51365e-01    3.51892e-01    3.34407e+02    NaN            -3.33407e+02   
col_693      9.15107e-01    9.56360e-01    9.56612e-01    3.40083e+03    -5.84192e-01   -3.39983e+03   
col_694      4.73445e-03    5.61954e-02    6.88073e-02    1.01655e+00    NaN            -1.65480e-02   
col_695      9.82998e-02    3.03537e-01    3.13528e-01    1.59441e+01    NaN            -1.49441e+01   
col_696      1.39639e-01    3.71997e-01    3.73683e-01    1.97265e+02    -7.13270e-01   -1.96265e+02   
col_697      1.55172e-01    3.93774e-01    3.93919e-01    1.36222e+03    NaN            -1.36122e+03   
col_698      3.45005e-02    1.69276e-01    1.85743e-01    5.90150e+00    NaN            -4.90150e+00   
col_699      8.16266e-02    2.78398e-01    2.85704e-01    2.62569e+01    -7.01260e-01   -2.52569e+01   
col_700      6.34851e-03    6.76076e-02    7.96776e-02    3.57113e+00    NaN            -2.57113e+00   
col_701      1.20099e-02    9.78930e-02    1.09590e-01    4.94879e+00    NaN            -3.94879e+00   
col_702      6.66963e-02    2.57284e-01    2.58256e-01    3.17104e+02    -5.03281e-01   -3.16104e+02   
col_703      4.89803e-01    6.99540e-01    6.99860e-01    1.09559e+03    NaN            -1.09459e+03   
col_704      1.60124e-01    3.99758e-01    4.00155e-01    5.04311e+02    NaN            -5.03311e+02   
col_705      1.93266e-03    4.17284e-02    4.39620e-02    1.22374e+00    NaN            -2.23736e-01   
col_706      7.92377e-02    2.80350e-01    2.81492e-01    1.23445e+02    NaN            -1.22445e+02   
