Column       MSE            MAE            RMSE           RSE            PC             R^2            
col_58       4.86013e-02    2.19440e-01    2.20457e-01    3.55538e+02    1.04877e-02    -3.54538e+02   
col_59       1.36788e-01    3.62694e-01    3.69849e-01    2.95637e+01    -5.71133e-01   -2.85637e+01   
col_60       9.81749e-01    9.58309e-01    9.90833e-01    1.74209e+01    -2.27094e-01   -1.64209e+01   
col_61       2.83619e-01    5.32003e-01    5.32559e-01    1.53598e+03    -7.52409e-01   -1.53498e+03   
col_62       1.21746e-02    1.07554e-01    1.10339e-01    2.64101e+00    -1.48191e-01   -1.64101e+00   
col_63       1.80928e+00    1.34497e+00    1.34509e+00    6.41106e+03    6.96117e-01    -6.41006e+03   
col_64       1.24143e-02    1.07572e-01    1.11419e-01    9.28173e+00    6.36754e-01    -8.28169e+00   
col_65       9.31845e-02    3.00023e-01    3.05261e-01    1.73545e+02    6.80301e-01    -1.72545e+02   
col_66       7.55902e-01    8.69363e-01    8.69426e-01    1.64175e+04    3.24572e-02    -1.64165e+04   
col_67       8.19386e-02    2.77602e-01    2.86249e-01    4.95622e+01    3.34706e-02    -4.85623e+01   
col_68       2.00134e-01    4.42990e-01    4.47363e-01    4.75221e+01    3.91537e-01    -4.65221e+01   
col_69       4.38639e-02    2.05029e-01    2.09437e-01    1.64448e+01    7.42169e-01    -1.54449e+01   
col_70       3.41753e-01    5.80625e-01    5.84596e-01    8.10790e+01    -3.45238e-01   -8.00790e+01   
col_71       1.41052e+00    1.17906e+00    1.18765e+00    1.73172e+02    -7.55578e-01   -1.72172e+02   
col_72       4.45999e-01    6.63626e-01    6.67832e-01    1.69787e+03    5.18262e-01    -1.69687e+03   
col_73       6.86076e-01    8.17691e-01    8.28297e-01    1.25608e+02    -7.49466e-01   -1.24608e+02   
col_74       1.01358e+00    1.00617e+00    1.00677e+00    Infinity       2.68037e-01    -8.36507e+06   
col_75       1.35119e+02    1.16196e+01    1.16241e+01    Infinity       -7.71378e-03   -4.05785e+08   
col_76       1.01590e+01    3.17145e+00    3.18733e+00    2.51718e+03    -6.77440e-01   -2.51618e+03   
col_77       2.89852e+01    5.38028e+00    5.38379e+00    Infinity       2.48223e-02    -2.52619e+08   
