Column    MSE            MAE            RMSE           RSE            PC             R^2            
col_0     7.49661e-01    1.88083e-01    8.65830e-01    4.10369e+00    7.41351e-01    -3.10369e+00   
col_1     7.51216e-01    1.87835e-01    8.66727e-01    4.10579e+00    7.40736e-01    -3.10579e+00   
col_2     7.54517e-01    1.88957e-01    8.68629e-01    4.10555e+00    7.39712e-01    -3.10555e+00   
col_3     7.53248e-01    1.91288e-01    8.67899e-01    4.09802e+00    7.42708e-01    -3.09802e+00   
col_4     7.61206e-01    2.05964e-01    8.72471e-01    3.90486e+00    7.27021e-01    -2.90486e+00   
col_5     7.53934e-01    2.03387e-01    8.68294e-01    3.89844e+00    7.30122e-01    -2.89844e+00   
