X|Y|Origin|Predict
924041.8125|1932365|46.55|34.02
923093.625|1930884|1.96|-3.35
923393|1931344|71.8|62.55
923539.625|1931240|58.97|53.07
923545.3125|1931856|1.58|-3.71
923443.625|1931497|2.93|-2.48
923492.8125|1931497|40.39|33.84
923494.625|1931702|1.96|-3.37
922748.375|1930785|21.78|16.11
923142.3125|1930832|24.21|18.49
923192.875|1930986|39.65|33.80
923243.625|1931140|36.14|30.34
923092.6875|1930781|23.56|17.87
923143.8125|1930987|36.56|28.71
922995.3125|1930885|19.39|13.72
923642.6875|1931752|26.62|20.87
923538.6875|1931137|40.97|35.18
923541.125|1931394|30.78|25.01
922849.125|1931040|22.45|16.75
923492.3125|1931446|18.81|13.18
923936.8125|1931647|23.89|18.16
923047.3125|1931193|15.12|9.58
923196.3125|1931346|18.4|12.77
923594.875|1931907|49.66|40.67
923487.625|1930932|34.29|28.43
923840.375|1931853|25.58|19.81
924091.375|1932416|27.02|21.54
924285.8125|1932158|130.14|111.65
923941.125|1932109|55.58|44.67
923190.625|1930729|2.97|-2.44
923339.125|1930831|4.73|-0.79
923194.875|1931191|3.17|-2.24
923146.125|1931243|2.93|-2.48
923344.3125|1931396|51.17|45.22
923094.625|1930987|16.69|11.00
923444.125|1931549|36.29|30.98
923489.875|1931189|4.19|-1.30
923488.625|1931035|5.69|0.07
923387.8125|1930779|51.71|45.06
923144.1875|1931038|26.17|21.09
923441.3125|1931241|86.99|74.27
923793.625|1932111|205.11|201.43
923044.875|1930936|16.87|11.25
923288.875|1930728|32.96|27.17
922899.3125|1931143|22.95|17.24
923444.625|1931600|42.44|36.59
923442.1875|1931343|60.53|50.64
923392.5|1931292|34.83|29.06
923439.375|1931035|60.97|55.39
923494.1875|1931651|39.58|33.74
923641.8125|1931650|30.78|24.99
922947|1930988|19.8|14.12
923045.375|1930987|16.13|10.55
923688.625|1931392|29.9|24.12
923438|1930881|54.31|48.60
923687.3125|1931238|16.4|10.81
923938.3125|1931801|27.32|21.54
923641.3125|1931598|19.76|14.11
923493.6875|1931600|17.15|11.54
923940.625|1932058|46.3|35.67
923637.625|1931187|35.6|26.06
923691|1931649|5.81|-0.16
924186.125|1932004|82.58|65.92
923892.375|1932161|42.16|33.61
924140.1875|1932364|18.16|17.18
924090.875|1932365|25.96|17.75
923542.375|1931548|53.46|43.19
923141.375|1930730|2.68|-2.70
923046.3125|1931090|2|-3.33
923295.625|1931447|20.07|14.30
924188.875|1932312|52.52|44.14
923147.5|1931397|27.4|21.65
923938.6875|1931852|130.45|124.92
922799.5|1930990|23|17.30
923391.125|1931138|49.52|43.78
922847.6875|1930886|21.24|15.57
923836.625|1931442|24.7|18.96
923786.625|1931340|14.44|8.91
922947.375|1931040|12.73|7.23
923345.3125|1931498|16|10.42
923936.375|1931596|29.2|22.64
923537.3125|1930983|82.26|88.29
923145.125|1931140|21.11|14.87
923490.375|1931240|30.38|23.81
923644.125|1931906|5.54|-0.39
922700.125|1930888|30.26|18.62
922945.625|1930834|19.31|12.79
923495.625|1931805|10.24|3.66
923390.1875|1931035|70.02|64.41
923246.375|1931448|2.81|-2.59
922846.8125|1930784|2.25|-3.09
923637.125|1931136|61.63|52.10
922998.625|1931245|2.57|-2.80
923438.875|1930984|6.57|0.92
923343.375|1931293|130.14|121.45
923538.3125|1931086|43.94|38.14
923294.125|1931293|33.37|27.58
923142.8125|1930884|21.55|15.87
923245.5|1931345|30.26|24.49
922896.375|1930835|21.29|15.61
923296.5|1931550|25.52|19.78
923240.3125|1930780|33.03|27.24
923239.8125|1930729|50.36|44.52
923193.375|1931037|25.85|20.12
923195.8125|1931294|49.09|43.24
923489|1931086|81.22|75.80
922848.625|1930989|22.25|16.56
923389.3125|1930933|63.45|57.91
923096.5|1931192|25.13|19.41
923293.6875|1931242|22.63|16.93
923843.1875|1932162|29.03|23.22
923394.875|1931549|16.24|10.66
923540.625|1931342|20.32|14.67
923544.3125|1931753|12.08|6.58
923886.8125|1931545|19.49|13.85
924036.625|1931800|55.33|43.76
924136.375|1931953|78.98|62.71
924237.125|1932209|33.75|25.76
924285.3125|1932106|87.21|72.19
922895.5|1930732|2.29|-3.06
923644.625|1931958|3.67|-1.77
924335|1932157|206.3|223.29
923192.5|1930935|25.36|19.63
923736.8125|1931289|26.44|20.70
922898.3125|1931040|63.95|55.39
923588.3125|1931188|54.47|48.66
923691.375|1931701|18.22|15.17
922947.875|1931091|13.34|7.84
923246.875|1931499|15.95|10.38
923440.8125|1931189|66.37|58.88
923592.125|1931599|18.94|13.32
923346.1875|1931601|14.33|8.79
923989.3125|1932006|49.28|38.38
924335.5|1932208|97|83.86
923986.625|1931698|47.02|36.21
924236.6875|1932158|86.67|72.69
923988.375|1931903|44.87|38.39
923942.875|1932315|33.97|24.93
923915.8125|1934729|3.46|-1.95
922884.1875|1934841|4.39|-1.07
922835.125|1934842|4.43|-1.02
923572.125|1934784|2.66|-2.68
921122.875|1935782|3.19|-2.17
922878.125|1934174|3.24|-2.24
922589.3125|1934844|4.05|-1.49
923268.125|1933810|5.11|-0.53
923363.625|1933501|74.5|64.86
923363.1875|1933450|27.59|23.20
923364.125|1933553|52.36|47.60
923365.125|1933656|65.39|51.41
923069|1933556|166.73|169.92
923413.6875|1933604|29.65|18.72
923502.1875|1932524|8.75|2.77
924109.1875|1934368|50.67|40.70
923020.375|1933607|47.83|40.96
923698.875|1932522|7.56|1.70
923650.1875|1932574|8.01|2.12
923618.375|1934475|1.71|-3.63
922977.8125|1934327|3.51|-1.99
923312.125|1933245|8.3|2.37
923799.1875|1932727|115.56|103.33
923375.875|1934837|2.7|-2.72
922176.6875|1927502|1.84|-3.49
922750.8125|1931041|2.45|-2.90
922759.3125|1931966|2.97|-2.44
923148.875|1931551|26.28|20.45
922220.1875|1932176|3.26|-2.16
922218.8125|1932022|3.28|-2.14
923299.3125|1931858|16.9|9.72
923052|1931706|2.34|-3.02
921987.5|1928326|5.56|0.70
922916.1875|1927650|7.43|2.68
922046.5|1934644|21.11|13.97
921516.3125|1935779|29.07|20.05
923753.3125|1933087|116.68|115.00
922977.3125|1934275|15.07|10.04
922820.625|1927959|18.38|12.75
922912.125|1932530|57.19|51.41
923017.375|1927957|18.5|12.86
923102.625|1931860|31.45|25.51
923313.875|1933451|12.55|7.04
923499.8125|1932267|94.59|88.84
923054.375|1931963|32.35|29.70
922999.125|1931296|25.58|19.84
923199.625|1931705|16.83|11.23
923103.625|1931963|35.8|28.91
922758.8125|1931915|28.31|22.55
922370.125|1932432|28.15|22.39
922215.875|1931714|28.03|22.27
923204.8125|1932270|47.11|41.10
922510.5|1931660|48.01|42.16
922970.6875|1933556|95.74|98.66
923113.5|1933041|84.08|71.51
923962.125|1934421|11.03|4.72
923866.625|1934730|7.92|1.92
923165.375|1933349|79.94|71.03
922870.875|1933403|54.04|54.63
923409|1933090|221.51|241.50
921504.6875|1934546|16.87|9.99
923021.3125|1933710|72.97|64.81
922874.6875|1933814|49.52|36.37
922826.125|1933866|38|29.59
922923.875|1933814|97.49|83.89
923754.6875|1933241|121.05|102.19
921800.1875|1934595|16.4|9.59
922193.875|1934642|15.52|8.76
923254|1932270|21.6|14.31
923703.625|1933036|34.27|25.96
922921.625|1933557|27.74|19.95
921125.375|1936039|4.52|-1.14
923670.375|1934783|6.73|0.84
923410.375|1933244|28.89|21.01
923081.3125|1934891|10.93|4.62
923411.8125|1933398|6.82|1.33
