X|Y|Origin|Predict
925029.625|1932819|134.84|126.52052307128906
925127.5|1932766|89.71|78.55424499511719
925078.3125|1932767|117.5|117.8258056640625
925078.6875|1932818|143.69|123.72209167480469
925079.1875|1932869|146.9|126.70941162109375
925127.875|1932818|71.3|68.95944213867188
925077.8125|1932715|224.44|219.34359741210938
925029.125|1932767|655.34|635.284423828125
925279.125|1933227|112.43|112.40934753417969
925327.375|1933124|114.61|114.70991516113281
925278.625|1933176|372.65|363.39117431640625
925327.8125|1933175|167.9|206.81594848632812
925229.5|1933176|127.73|128.84243774414062
925326.875|1933073|301.59|278.6270751953125
925278.1875|1933125|271.46|255.24615478515625
924038|1931954|20.68|16.018035888671875
923140.875|1930678|2.7|-0.8952484130859375
923290.375|1930882|4.73|1.094024658203125
923192|1930883|27.32|24.245155334472656
923094.125|1930936|53.08|50.36857604980469
923143.3125|1930935|18.45|15.141437530517578
923145.625|1931192|63.65|58.98602294921875
923241.6875|1930934|37.19|34.39949417114258
923240.8125|1930831|56.38|54.17388916015625
923190.125|1930678|27.38|24.298274993896484
923338.1875|1930728|34.22|31.32680892944336
923338.6875|1930779|39.47|36.743980407714844
923543.375|1931651|26.41|23.306537628173828
922995.8125|1930936|18.16|14.859970092773438
923045.8125|1931039|24.57|23.817962646484375
922946.5|1930937|19.42|16.14798355102539
923295.125|1931396|29.2|26.16234588623047
922748.8125|1930836|21.76|18.536083221435547
924037.125|1931852|184.9|175.80349731445312
923740.625|1931700|21.89|18.852535247802734
923540.125|1931291|19.8|16.706573486328125
923588.8125|1931239|19.58|16.475418090820312
923488.125|1930983|35.64|32.9238395690918
923643.1875|1931804|30.38|24.517189025878906
923891|1932007|7.34|3.1071319580078125
923694.3125|1932009|7.83|3.56683349609375
923394.375|1931498|34.09|26.70964813232422
923788.875|1931597|41.02|32.98591613769531
924237.625|1932261|26.71|22.253822326660156
923891.375|1932058|41.17|36.51644515991211
924136|1931902|90.88|83.44652557373047
923292.8125|1931139|4.39|0.7791213989257812
923294.625|1931345|3.24|-0.37647247314453125
923288.5|1930677|3.06|-0.5454254150390625
923493.3125|1931548|42.53|36.177547454833984
923537.8125|1931034|4.86|1.220611572265625
923586.875|1931034|11.11|6.843177795410156
923191.625|1930832|28.6|25.557598114013672
923289.875|1930831|41.15|38.47475814819336
922847.1875|1930835|21.53|18.30335235595703
923146.625|1931295|46.44|43.94740295410156
923188.6875|1930524|22.82|19.62505340576172
